Departure Station,Arrival Destination,Percentage Delay
birmingham new street,coventry,0.0
birmingham new street,edinburgh,-0.0
birmingham new street,liverpool lime street,0.0
birmingham new street,london euston,14.28125
birmingham new street,london kings cross,0.0
birmingham new street,london paddington,0.0
birmingham new street,london st pancras,0.0
birmingham new street,manchester piccadilly,15.218446601941748
birmingham new street,nuneaton,0.0
birmingham new street,reading,0.0
birmingham new street,stafford,0.0
birmingham new street,tamworth,0.0
birmingham new street,wolverhampton,0.0
birmingham new street,york,0.0
bristol temple meads,cardiff central,0.0
edinburgh waverley,london kings cross,5.874811463046756
liverpool lime street,birmingham new street,0.0
liverpool lime street,crewe,0.0
liverpool lime street,leeds,0.0
liverpool lime street,london euston,21.176426927929935
liverpool lime street,london paddington,12.320987654320989
liverpool lime street,london st pancras,0.0
liverpool lime street,manchester piccadilly,2.7055825804957148
liverpool lime street,sheffield,0.0
london euston,birmingham new street,4.158329164582291
london euston,manchester piccadilly,0.0
london euston,oxford,0.0
london euston,york,33.04812834224599
london kings cross,edinburgh waverley,0.0
london kings cross,liverpool lime street,0.0
london kings cross,york,0.5145981837711161
london paddington,liverpool lime street,0.0
london paddington,london waterloo,0.0
london paddington,manchester piccadilly,0.0
london paddington,oxford,0.0
london paddington,reading,1.0923705975281108
london st pancras,birmingham new street,0.0
london st pancras,leicester,0.0
london st pancras,wolverhampton,0.0
manchester piccadilly,leeds,144.98029944838456
manchester piccadilly,liverpool lime street,18.280313508529254
manchester piccadilly,london euston,15.388091440723025
manchester piccadilly,london kings cross,0.0
manchester piccadilly,london paddington,0.0
manchester piccadilly,london st pancras,0.0
manchester piccadilly,nottingham,8.595890410958905
manchester piccadilly,sheffield,0.0
manchester piccadilly,warrington,0.0
manchester piccadilly,york,0.0
oxford,bristol temple meads,2.7922705314009666
reading,birmingham new street,0.0
reading,didcot,0.0
reading,liverpool lime street,0.0
reading,london paddington,0.0
reading,oxford,0.0
reading,swindon,0.0
york,birmingham new street,0.0
york,doncaster,31.016666666666666
york,durham,4.04149377593361
york,edinburgh,0.0
york,edinburgh waverley,0.0
york,leeds,0.0
york,liverpool lime street,0.0
york,peterborough,0.0
york,wakefield,49.06666666666667
