Date of Journey,Ticket Class,0
2024-01-01,first class,4
2024-01-01,standard,62
2024-01-02,first class,19
2024-01-02,standard,127
2024-01-03,first class,31
2024-01-03,standard,261
2024-01-04,first class,25
2024-01-04,standard,249
2024-01-05,first class,22
2024-01-05,standard,231
2024-01-06,first class,22
2024-01-06,standard,228
2024-01-07,first class,19
2024-01-07,standard,229
2024-01-08,first class,32
2024-01-08,standard,257
2024-01-09,first class,33
2024-01-09,standard,233
2024-01-10,first class,24
2024-01-10,standard,244
2024-01-11,first class,29
2024-01-11,standard,261
2024-01-12,first class,31
2024-01-12,standard,246
2024-01-13,first class,21
2024-01-13,standard,254
2024-01-14,first class,26
2024-01-14,standard,239
2024-01-15,first class,27
2024-01-15,standard,223
2024-01-16,first class,33
2024-01-16,standard,240
2024-01-17,first class,32
2024-01-17,standard,261
2024-01-18,first class,27
2024-01-18,standard,274
2024-01-19,first class,23
2024-01-19,standard,251
2024-01-20,first class,18
2024-01-20,standard,249
2024-01-21,first class,23
2024-01-21,standard,225
2024-01-22,first class,31
2024-01-22,standard,244
2024-01-23,first class,24
2024-01-23,standard,245
2024-01-24,first class,21
2024-01-24,standard,248
2024-01-25,first class,20
2024-01-25,standard,258
2024-01-26,first class,31
2024-01-26,standard,247
2024-01-27,first class,29
2024-01-27,standard,247
2024-01-28,first class,29
2024-01-28,standard,256
2024-01-29,first class,17
2024-01-29,standard,239
2024-01-30,first class,21
2024-01-30,standard,244
2024-01-31,first class,31
2024-01-31,standard,264
2024-02-01,first class,25
2024-02-01,standard,256
2024-02-02,first class,23
2024-02-02,standard,255
2024-02-03,first class,28
2024-02-03,standard,243
2024-02-04,first class,20
2024-02-04,standard,270
2024-02-05,first class,35
2024-02-05,standard,212
2024-02-06,first class,34
2024-02-06,standard,226
2024-02-07,first class,19
2024-02-07,standard,219
2024-02-08,first class,27
2024-02-08,standard,242
2024-02-09,first class,15
2024-02-09,standard,255
2024-02-10,first class,17
2024-02-10,standard,241
2024-02-11,first class,18
2024-02-11,standard,227
2024-02-12,first class,27
2024-02-12,standard,242
2024-02-13,first class,20
2024-02-13,standard,229
2024-02-14,first class,29
2024-02-14,standard,248
2024-02-15,first class,20
2024-02-15,standard,238
2024-02-16,first class,21
2024-02-16,standard,219
2024-02-17,first class,27
2024-02-17,standard,217
2024-02-18,first class,37
2024-02-18,standard,238
2024-02-19,first class,22
2024-02-19,standard,231
2024-02-20,first class,29
2024-02-20,standard,245
2024-02-21,first class,28
2024-02-21,standard,269
2024-02-22,first class,15
2024-02-22,standard,239
2024-02-23,first class,19
2024-02-23,standard,243
2024-02-24,first class,21
2024-02-24,standard,224
2024-02-25,first class,30
2024-02-25,standard,257
2024-02-26,first class,30
2024-02-26,standard,226
2024-02-27,first class,34
2024-02-27,standard,229
2024-02-28,first class,28
2024-02-28,standard,258
2024-02-29,first class,21
2024-02-29,standard,227
2024-03-01,first class,9
2024-03-01,standard,64
2024-03-02,first class,19
2024-03-02,standard,138
2024-03-03,first class,21
2024-03-03,standard,269
2024-03-04,first class,18
2024-03-04,standard,226
2024-03-05,first class,34
2024-03-05,standard,262
2024-03-06,first class,26
2024-03-06,standard,256
2024-03-07,first class,18
2024-03-07,standard,239
2024-03-08,first class,30
2024-03-08,standard,221
2024-03-09,first class,32
2024-03-09,standard,281
2024-03-10,first class,36
2024-03-10,standard,258
2024-03-11,first class,31
2024-03-11,standard,261
2024-03-12,first class,25
2024-03-12,standard,219
2024-03-13,first class,33
2024-03-13,standard,236
2024-03-14,first class,26
2024-03-14,standard,258
2024-03-15,first class,26
2024-03-15,standard,238
2024-03-16,first class,24
2024-03-16,standard,209
2024-03-17,first class,22
2024-03-17,standard,231
2024-03-18,first class,25
2024-03-18,standard,266
2024-03-19,first class,26
2024-03-19,standard,226
2024-03-20,first class,24
2024-03-20,standard,251
2024-03-21,first class,26
2024-03-21,standard,267
2024-03-22,first class,30
2024-03-22,standard,237
2024-03-23,first class,23
2024-03-23,standard,239
2024-03-24,first class,23
2024-03-24,standard,225
2024-03-25,first class,30
2024-03-25,standard,274
2024-03-26,first class,37
2024-03-26,standard,251
2024-03-27,first class,32
2024-03-27,standard,243
2024-03-28,first class,17
2024-03-28,standard,239
2024-03-29,first class,18
2024-03-29,standard,241
2024-03-30,first class,23
2024-03-30,standard,262
2024-03-31,first class,30
2024-03-31,standard,236
2024-04-01,first class,8
2024-04-01,standard,55
2024-04-02,first class,10
2024-04-02,standard,143
2024-04-03,first class,30
2024-04-03,standard,237
2024-04-04,first class,18
2024-04-04,standard,234
2024-04-05,first class,27
2024-04-05,standard,213
2024-04-06,first class,28
2024-04-06,standard,254
2024-04-07,first class,22
2024-04-07,standard,223
2024-04-08,first class,25
2024-04-08,standard,255
2024-04-09,first class,40
2024-04-09,standard,262
2024-04-10,first class,19
2024-04-10,standard,231
2024-04-11,first class,22
2024-04-11,standard,231
2024-04-12,first class,25
2024-04-12,standard,266
2024-04-13,first class,24
2024-04-13,standard,241
2024-04-14,first class,24
2024-04-14,standard,260
2024-04-15,first class,28
2024-04-15,standard,270
2024-04-16,first class,27
2024-04-16,standard,224
2024-04-17,first class,35
2024-04-17,standard,253
2024-04-18,first class,22
2024-04-18,standard,234
