Time of Purchase,Lead Time,Ticket Type
12:41:11,24 days,advance
11:23:01,16 days,advance
19:51:27,14 days,advance
23:00:36,12 days,advance
18:22:56,5 days,advance
07:56:06,2 days,advance
00:02:01,1 days,advance
01:35:18,1 days,advance
01:43:09,1 days,advance
03:05:52,1 days,advance
03:26:37,1 days,advance
03:52:11,1 days,advance
05:55:22,1 days,advance
06:44:35,1 days,advance
08:05:50,1 days,advance
08:16:53,1 days,advance
08:23:15,1 days,advance
09:09:20,1 days,advance
09:12:21,1 days,advance
10:42:22,1 days,advance
11:57:15,1 days,advance
12:11:47,1 days,advance
13:33:39,1 days,advance
14:23:09,1 days,advance
14:53:44,1 days,advance
15:19:53,1 days,advance
15:53:46,1 days,advance
16:44:05,1 days,advance
18:01:58,1 days,advance
18:39:00,1 days,advance
19:33:15,1 days,advance
19:45:53,1 days,advance
20:20:25,1 days,advance
20:21:58,1 days,advance
01:10:20,0 days,off-peak
01:16:20,0 days,off-peak
03:02:34,0 days,off-peak
03:03:49,0 days,off-peak
03:35:48,0 days,off-peak
03:52:29,1 days,advance
04:09:42,0 days,off-peak
04:31:41,0 days,anytime
04:54:54,0 days,anytime
05:05:29,0 days,anytime
05:07:28,0 days,anytime
05:09:30,1 days,advance
05:14:54,0 days,anytime
05:17:46,0 days,anytime
06:08:28,0 days,anytime
06:14:16,0 days,anytime
06:18:48,0 days,anytime
06:34:08,0 days,anytime
06:41:14,0 days,anytime
06:48:45,0 days,anytime
07:20:14,0 days,anytime
07:23:47,0 days,anytime
07:46:41,0 days,off-peak
08:12:21,1 days,advance
08:14:05,1 days,advance
08:26:41,1 days,advance
09:18:59,0 days,off-peak
09:30:09,1 days,advance
10:17:33,0 days,off-peak
11:55:41,0 days,off-peak
12:54:54,0 days,off-peak
14:02:52,0 days,off-peak
14:30:03,0 days,anytime
14:42:17,0 days,anytime
15:39:11,0 days,anytime
15:45:47,0 days,anytime
16:03:03,0 days,anytime
16:41:05,1 days,advance
17:02:28,0 days,anytime
17:11:31,1 days,advance
17:17:53,0 days,anytime
17:43:02,1 days,advance
18:39:18,1 days,advance
19:32:26,1 days,advance
19:33:56,1 days,advance
20:22:05,1 days,advance
20:24:38,1 days,advance
20:54:46,1 days,advance
21:46:29,1 days,advance
21:52:50,1 days,advance
22:44:51,1 days,advance
23:06:07,1 days,advance
00:14:32,0 days,off-peak
00:24:08,0 days,off-peak
00:26:21,0 days,off-peak
00:27:40,0 days,off-peak
00:37:20,0 days,off-peak
00:54:33,0 days,off-peak
01:01:01,1 days,advance
01:11:57,0 days,off-peak
01:17:27,1 days,advance
01:19:18,1 days,advance
01:22:25,0 days,off-peak
01:26:15,1 days,advance
01:40:08,1 days,advance
01:51:12,1 days,advance
01:52:53,0 days,off-peak
02:13:53,0 days,off-peak
03:03:36,1 days,advance
03:05:40,1 days,advance
03:12:53,0 days,off-peak
03:21:34,1 days,advance
03:26:31,1 days,advance
03:27:03,1 days,advance
03:30:17,1 days,advance
03:30:57,1 days,advance
03:32:43,1 days,advance
03:33:32,0 days,off-peak
03:36:25,1 days,advance
03:38:22,1 days,advance
03:48:41,0 days,off-peak
04:24:17,0 days,off-peak
04:26:10,0 days,off-peak
04:31:39,1 days,advance
04:37:26,0 days,anytime
04:47:49,0 days,anytime
04:49:16,1 days,advance
04:49:26,0 days,anytime
04:49:28,0 days,anytime
04:57:54,0 days,anytime
04:58:57,0 days,anytime
04:59:57,0 days,anytime
05:04:08,0 days,anytime
05:04:15,0 days,anytime
05:05:21,0 days,anytime
05:06:12,0 days,anytime
05:07:05,1 days,advance
05:08:58,0 days,anytime
05:10:12,0 days,anytime
05:10:28,0 days,anytime
05:11:07,0 days,anytime
05:22:59,0 days,anytime
05:32:11,1 days,advance
05:39:26,1 days,advance
05:50:39,0 days,anytime
06:00:14,0 days,anytime
06:01:54,0 days,anytime
06:04:35,0 days,anytime
06:05:20,0 days,anytime
06:06:49,1 days,advance
06:08:48,1 days,advance
06:09:57,0 days,anytime
06:21:22,0 days,anytime
06:31:43,0 days,anytime
06:33:00,0 days,anytime
06:33:10,0 days,anytime
06:34:11,1 days,advance
06:34:46,0 days,anytime
06:35:02,0 days,anytime
06:37:09,0 days,anytime
06:38:39,0 days,anytime
06:41:24,0 days,anytime
06:42:03,0 days,anytime
06:42:12,1 days,advance
06:45:49,0 days,anytime
06:58:18,0 days,anytime
07:04:40,0 days,anytime
07:05:39,1 days,advance
07:16:54,0 days,anytime
07:18:16,0 days,anytime
07:20:01,0 days,anytime
07:23:03,1 days,advance
07:23:13,0 days,anytime
07:23:34,0 days,anytime
07:24:34,0 days,anytime
07:28:16,1 days,advance
07:29:21,0 days,anytime
07:32:42,0 days,off-peak
07:33:03,0 days,off-peak
07:33:15,0 days,off-peak
07:33:23,1 days,advance
07:36:35,0 days,off-peak
07:36:37,1 days,advance
07:36:53,0 days,off-peak
07:49:40,1 days,advance
07:50:50,0 days,off-peak
07:54:11,1 days,advance
08:00:20,1 days,advance
08:01:16,1 days,advance
08:02:35,1 days,advance
08:11:33,1 days,advance
08:15:45,1 days,advance
08:19:27,0 days,off-peak
08:20:40,1 days,advance
08:24:11,1 days,advance
08:27:13,1 days,advance
08:27:57,1 days,advance
08:28:15,0 days,off-peak
08:57:10,1 days,advance
09:06:17,1 days,advance
09:06:28,0 days,off-peak
09:06:51,1 days,advance
09:09:28,1 days,advance
09:10:59,1 days,advance
09:11:06,1 days,advance
09:23:03,0 days,off-peak
09:28:47,1 days,advance
09:30:54,1 days,advance
09:31:53,1 days,advance
09:34:01,1 days,advance
09:34:19,1 days,advance
09:35:34,0 days,off-peak
09:42:18,0 days,off-peak
09:50:50,1 days,advance
09:54:35,0 days,off-peak
09:57:10,1 days,advance
10:15:13,1 days,advance
10:19:26,1 days,advance
10:32:20,1 days,advance
10:41:07,1 days,advance
10:42:08,0 days,off-peak
10:43:57,1 days,advance
10:48:48,1 days,advance
10:51:36,0 days,off-peak
10:56:19,1 days,advance
11:01:57,1 days,advance
11:13:30,1 days,advance
11:18:30,0 days,off-peak
11:19:10,0 days,off-peak
11:20:02,0 days,off-peak
12:01:28,0 days,off-peak
12:06:30,1 days,advance
12:08:31,0 days,off-peak
12:33:42,1 days,advance
12:39:58,1 days,advance
12:40:30,1 days,advance
13:00:01,0 days,off-peak
13:03:18,0 days,off-peak
13:06:40,0 days,off-peak
13:21:58,1 days,advance
13:24:23,1 days,advance
13:33:07,1 days,advance
13:41:50,0 days,off-peak
13:41:58,0 days,off-peak
13:57:22,0 days,off-peak
14:10:50,0 days,off-peak
14:16:55,1 days,advance
14:18:09,0 days,off-peak
14:23:21,1 days,advance
14:26:49,1 days,advance
14:26:59,0 days,off-peak
14:30:17,0 days,anytime
14:36:55,0 days,anytime
14:37:24,0 days,anytime
14:39:05,0 days,anytime
14:39:57,0 days,anytime
14:42:12,0 days,anytime
14:42:55,0 days,anytime
14:43:54,0 days,anytime
14:45:29,0 days,anytime
14:46:57,0 days,anytime
14:56:35,1 days,advance
14:57:58,1 days,advance
15:18:18,0 days,anytime
15:19:08,1 days,advance
15:20:24,0 days,anytime
15:23:21,0 days,anytime
15:45:48,0 days,anytime
15:58:45,0 days,anytime
16:00:45,0 days,anytime
16:07:33,0 days,anytime
16:09:30,1 days,advance
16:11:10,0 days,anytime
16:18:23,1 days,advance
16:23:42,1 days,advance
16:26:52,1 days,advance
16:40:03,1 days,advance
16:44:07,1 days,advance
17:02:40,1 days,advance
17:09:56,1 days,advance
17:10:40,1 days,advance
17:14:34,1 days,advance
17:18:59,0 days,anytime
17:20:02,0 days,anytime
17:21:32,0 days,anytime
17:22:48,0 days,anytime
17:24:25,1 days,advance
17:25:08,0 days,anytime
17:26:14,0 days,anytime
17:27:15,0 days,anytime
17:28:04,0 days,anytime
17:29:43,0 days,anytime
17:30:06,1 days,advance
17:31:20,1 days,advance
17:34:17,1 days,advance
17:36:40,1 days,advance
17:37:55,1 days,advance
17:38:47,1 days,advance
17:43:55,0 days,off-peak
17:46:28,1 days,advance
17:49:54,1 days,advance
18:05:48,1 days,advance
