Price,Ticket Class,Refund Request,Delay Category
23,standard,no,Short
37,standard,no,Medium
7,standard,yes,Long
34,first class,yes,Long
7,standard,no,Cancelled
134,first class,no,Short
151,standard,no,Medium
134,first class,no,Medium
35,first class,no,Cancelled
10,standard,yes,Cancelled
200,first class,no,Short
12,standard,yes,Cancelled
47,standard,no,Medium
70,standard,no,Medium
84,standard,no,Medium
235,first class,no,Cancelled
151,standard,no,Cancelled
151,standard,no,Cancelled
151,standard,no,Cancelled
16,standard,no,Cancelled
151,standard,no,Cancelled
12,standard,no,Long
10,standard,no,Extreme
2,standard,yes,Cancelled
35,standard,no,Cancelled
35,standard,yes,Cancelled
76,standard,no,Long
76,standard,no,Long
76,standard,no,Long
4,standard,no,Cancelled
6,standard,no,Long
3,standard,yes,Extreme
19,standard,yes,Cancelled
3,standard,no,Extreme
8,standard,no,Cancelled
13,standard,yes,Cancelled
9,standard,no,Cancelled
9,standard,no,Cancelled
9,standard,no,Cancelled
76,standard,yes,Medium
4,standard,no,Cancelled
4,standard,yes,Cancelled
50,standard,yes,Medium
2,standard,no,Cancelled
4,standard,no,Cancelled
10,standard,yes,Cancelled
3,standard,no,Cancelled
3,standard,no,Cancelled
3,standard,no,Cancelled
39,first class,yes,Cancelled
11,standard,no,Medium
7,standard,no,Cancelled
7,standard,yes,Cancelled
8,standard,yes,Cancelled
3,standard,no,Cancelled
3,standard,no,Cancelled
151,standard,no,Long
151,standard,no,Long
151,standard,no,Long
151,standard,no,Long
2,standard,no,Long
72,standard,yes,Cancelled
35,standard,no,Cancelled
76,standard,yes,Cancelled
76,standard,no,Cancelled
76,standard,no,Cancelled
4,standard,no,Extreme
76,standard,no,Cancelled
76,standard,no,Cancelled
76,standard,no,Cancelled
4,standard,no,Extreme
118,first class,no,Cancelled
6,standard,no,Extreme
3,standard,yes,Long
27,first class,no,Cancelled
13,standard,yes,Cancelled
7,standard,no,Cancelled
43,standard,yes,Short
200,first class,yes,Medium
9,standard,no,Cancelled
9,standard,no,Cancelled
50,standard,yes,Medium
3,standard,no,Cancelled
50,standard,yes,Medium
3,standard,no,Extreme
3,standard,no,Extreme
3,standard,no,Extreme
52,first class,yes,Cancelled
53,standard,no,Cancelled
2,standard,no,Cancelled
2,standard,no,Cancelled
4,standard,yes,Cancelled
3,standard,no,Long
143,standard,no,Cancelled
70,standard,no,Cancelled
70,standard,no,Cancelled
235,first class,no,Cancelled
267,first class,no,Medium
151,standard,no,Cancelled
8,standard,no,Long
10,standard,no,Extreme
35,standard,no,Medium
35,standard,no,Medium
76,standard,no,Long
3,standard,no,Cancelled
6,standard,no,Extreme
6,first class,no,Extreme
6,standard,no,Extreme
3,standard,yes,Cancelled
7,standard,yes,Long
7,standard,yes,Long
7,standard,yes,Long
43,standard,yes,Short
5,standard,no,Cancelled
5,standard,no,Extreme
5,standard,no,Extreme
5,standard,no,Extreme
5,standard,no,Extreme
5,standard,no,Extreme
101,standard,yes,Medium
101,standard,yes,Medium
56,standard,yes,Medium
3,standard,no,Extreme
5,standard,no,Cancelled
2,standard,no,Cancelled
3,standard,yes,Cancelled
3,standard,no,Cancelled
151,standard,no,Long
151,standard,no,Long
151,standard,no,Long
151,standard,no,Long
7,standard,yes,Cancelled
35,standard,yes,Cancelled
76,standard,no,Cancelled
134,first class,no,Long
76,standard,no,Cancelled
76,standard,yes,Cancelled
76,standard,no,Cancelled
11,standard,yes,Long
7,standard,yes,Long
7,standard,yes,Long
7,first class,yes,Cancelled
5,standard,no,Extreme
101,standard,yes,Short
10,standard,no,Cancelled
10,standard,yes,Cancelled
8,standard,yes,Cancelled
53,standard,no,Cancelled
53,standard,no,Cancelled
53,standard,no,Cancelled
86,standard,yes,Cancelled
113,standard,no,Cancelled
113,standard,no,Cancelled
8,standard,yes,Cancelled
7,standard,no,Cancelled
9,standard,yes,Cancelled
9,standard,no,Cancelled
76,standard,no,Long
76,standard,no,Long
76,standard,no,Long
76,standard,no,Long
11,standard,yes,Long
4,standard,no,Cancelled
50,standard,yes,Medium
84,standard,yes,Medium
10,first class,yes,Cancelled
7,standard,yes,Cancelled
7,standard,no,Cancelled
8,standard,no,Cancelled
3,standard,no,Extreme
3,standard,no,Extreme
3,standard,no,Extreme
3,standard,no,Extreme
37,standard,no,Medium
126,standard,no,Long
13,standard,no,Cancelled
7,standard,yes,Cancelled
113,standard,no,Long
113,standard,no,Long
113,standard,no,Long
12,standard,no,Extreme
72,standard,no,Cancelled
72,standard,no,Cancelled
73,standard,no,Cancelled
73,standard,no,Cancelled
3,standard,no,Cancelled
21,standard,no,Long
3,standard,no,Medium
3,standard,yes,Medium
8,standard,yes,Cancelled
8,standard,no,Cancelled
3,standard,no,Extreme
53,standard,no,Cancelled
53,standard,no,Cancelled
13,standard,no,Cancelled
84,standard,yes,Medium
4,standard,no,Extreme
4,standard,no,Extreme
7,standard,yes,Cancelled
10,standard,no,Cancelled
35,standard,yes,Medium
3,standard,no,Extreme
3,standard,no,Extreme
35,standard,no,Medium
3,standard,no,Cancelled
11,standard,no,Extreme
3,standard,yes,Cancelled
51,standard,yes,Long
6,standard,no,Cancelled
6,standard,no,Cancelled
6,standard,no,Cancelled
6,standard,yes,Cancelled
151,standard,no,Short
168,standard,no,Long
151,standard,no,Short
151,standard,no,Short
151,standard,no,Short
7,standard,yes,Cancelled
13,standard,no,Cancelled
13,standard,yes,Cancelled
13,standard,no,Cancelled
13,standard,no,Cancelled
13,standard,no,Cancelled
13,standard,no,Cancelled
76,standard,no,Medium
10,standard,no,Medium
12,standard,no,Cancelled
76,standard,no,Medium
126,standard,yes,Medium
70,standard,no,Medium
70,standard,no,Medium
70,standard,no,Medium
5,standard,no,Extreme
5,standard,no,Extreme
5,standard,no,Extreme
47,standard,no,Medium
5,standard,no,Extreme
101,standard,yes,Short
78,first class,yes,Medium
126,standard,no,Medium
13,standard,no,Long
235,first class,no,Medium
267,first class,no,Long
151,standard,no,Medium
235,first class,no,Medium
8,standard,no,Long
25,standard,no,Cancelled
25,standard,no,Cancelled
10,standard,no,Extreme
7,standard,no,Long
76,standard,no,Cancelled
76,standard,no,Cancelled
76,standard,no,Cancelled
84,standard,no,Long
76,standard,no,Cancelled
4,standard,no,Extreme
118,first class,no,Cancelled
6,standard,no,Extreme
29,first class,yes,Medium
2,standard,yes,Extreme
113,standard,yes,Medium
13,standard,no,Cancelled
50,standard,yes,Medium
3,standard,no,Extreme
12,standard,no,Cancelled
76,standard,yes,Medium
151,standard,no,Cancelled
151,standard,yes,Cancelled
10,standard,no,Extreme
3,standard,no,Medium
13,standard,no,Cancelled
76,standard,no,Long
76,standard,no,Long
76,standard,no,Long
76,standard,no,Long
76,standard,no,Long
76,standard,no,Long
4,standard,yes,Cancelled
4,standard,no,Cancelled
10,first class,no,Extreme
3,standard,yes,Extreme
3,standard,yes,Extreme
43,standard,yes,Short
13,standard,no,Cancelled
34,first class,yes,Medium
5,standard,no,Extreme
5,standard,no,Extreme
5,standard,no,Extreme
19,first class,no,Extreme
5,standard,no,Extreme
8,standard,yes,Cancelled
4,standard,no,Long
4,standard,no,Long
4,standard,no,Long
2,standard,no,Cancelled
56,standard,yes,Medium
13,standard,no,Cancelled
13,standard,yes,Cancelled
35,standard,no,Short
35,standard,no,Short
37,standard,no,Long
17,standard,yes,Cancelled
17,standard,no,Cancelled
126,standard,no,Long
126,standard,no,Long
12,standard,no,Cancelled
12,standard,no,Cancelled
80,first class,yes,Cancelled
118,first class,yes,Medium
151,standard,no,Long
151,standard,no,Long
151,standard,no,Long
151,standard,no,Long
151,standard,no,Long
9,standard,yes,Cancelled
3,standard,no,Extreme
3,standard,yes,Cancelled
52,first class,no,Cancelled
35,first class,no,Cancelled
10,standard,no,Cancelled
3,standard,no,Cancelled
9,standard,no,Long
9,standard,no,Long
69,first class,no,Long
9,standard,no,Long
9,standard,yes,Long
69,first class,no,Long
9,standard,no,Long
3,standard,no,Cancelled
3,standard,no,Cancelled
31,standard,yes,Cancelled
113,standard,yes,Medium
70,standard,no,Short
70,standard,no,Short
70,standard,no,Short
70,standard,yes,Short
84,standard,yes,Medium
25,standard,no,Cancelled
56,standard,yes,Medium
50,standard,yes,Medium
7,standard,no,Cancelled
35,standard,yes,Cancelled
35,standard,no,Cancelled
35,standard,no,Cancelled
3,standard,yes,Cancelled
128,standard,no,Cancelled
3,standard,yes,Cancelled
69,first class,no,Cancelled
13,standard,no,Long
10,standard,no,Extreme
3,standard,yes,Cancelled
3,standard,no,Cancelled
13,standard,yes,Cancelled
13,standard,no,Cancelled
14,first class,no,Extreme
14,first class,no,Extreme
76,standard,no,Long
21,standard,no,Long
118,first class,no,Long
84,standard,no,Medium
11,standard,yes,Long
7,standard,yes,Long
3,standard,no,Extreme
3,standard,no,Extreme
35,standard,yes,Cancelled
126,standard,yes,Medium
114,first class,no,Cancelled
114,first class,no,Cancelled
70,standard,no,Cancelled
70,standard,no,Cancelled
70,standard,yes,Cancelled
3,standard,yes,Cancelled
3,standard,no,Cancelled
3,standard,no,Cancelled
35,standard,no,Cancelled
35,standard,yes,Cancelled
126,standard,no,Medium
113,standard,no,Long
113,standard,no,Long
31,standard,no,Long
113,standard,no,Long
5,standard,yes,Cancelled
19,standard,no,Cancelled
19,standard,yes,Cancelled
19,standard,no,Cancelled
10,first class,no,Extreme
4,standard,no,Extreme
76,standard,no,Long
