Price,Ticket Class,Delay Category
23,standard,Short
37,standard,Medium
7,standard,Long
34,first class,Long
7,standard,Cancelled
134,first class,Short
151,standard,Medium
134,first class,Medium
35,first class,Cancelled
10,standard,Cancelled
200,first class,Short
12,standard,Cancelled
47,standard,Medium
70,standard,Medium
84,standard,Medium
235,first class,Cancelled
151,standard,Cancelled
151,standard,Cancelled
151,standard,Cancelled
16,standard,Cancelled
151,standard,Cancelled
12,standard,Long
10,standard,Extreme
2,standard,Cancelled
35,standard,Cancelled
35,standard,Cancelled
76,standard,Long
76,standard,Long
76,standard,Long
4,standard,Cancelled
6,standard,Long
3,standard,Extreme
19,standard,Cancelled
3,standard,Extreme
8,standard,Cancelled
13,standard,Cancelled
9,standard,Cancelled
9,standard,Cancelled
9,standard,Cancelled
76,standard,Medium
4,standard,Cancelled
4,standard,Cancelled
50,standard,Medium
2,standard,Cancelled
4,standard,Cancelled
10,standard,Cancelled
3,standard,Cancelled
3,standard,Cancelled
3,standard,Cancelled
39,first class,Cancelled
11,standard,Medium
7,standard,Cancelled
7,standard,Cancelled
8,standard,Cancelled
3,standard,Cancelled
3,standard,Cancelled
151,standard,Long
151,standard,Long
151,standard,Long
151,standard,Long
2,standard,Long
72,standard,Cancelled
35,standard,Cancelled
76,standard,Cancelled
76,standard,Cancelled
76,standard,Cancelled
4,standard,Extreme
76,standard,Cancelled
76,standard,Cancelled
76,standard,Cancelled
4,standard,Extreme
118,first class,Cancelled
6,standard,Extreme
3,standard,Long
27,first class,Cancelled
13,standard,Cancelled
7,standard,Cancelled
43,standard,Short
200,first class,Medium
9,standard,Cancelled
9,standard,Cancelled
50,standard,Medium
3,standard,Cancelled
50,standard,Medium
3,standard,Extreme
3,standard,Extreme
3,standard,Extreme
52,first class,Cancelled
53,standard,Cancelled
2,standard,Cancelled
2,standard,Cancelled
4,standard,Cancelled
3,standard,Long
143,standard,Cancelled
70,standard,Cancelled
70,standard,Cancelled
235,first class,Cancelled
267,first class,Medium
151,standard,Cancelled
8,standard,Long
10,standard,Extreme
35,standard,Medium
35,standard,Medium
76,standard,Long
3,standard,Cancelled
6,standard,Extreme
6,first class,Extreme
6,standard,Extreme
3,standard,Cancelled
7,standard,Long
7,standard,Long
7,standard,Long
43,standard,Short
5,standard,Cancelled
5,standard,Extreme
5,standard,Extreme
5,standard,Extreme
5,standard,Extreme
5,standard,Extreme
101,standard,Medium
101,standard,Medium
56,standard,Medium
3,standard,Extreme
5,standard,Cancelled
2,standard,Cancelled
3,standard,Cancelled
3,standard,Cancelled
151,standard,Long
151,standard,Long
151,standard,Long
151,standard,Long
7,standard,Cancelled
35,standard,Cancelled
76,standard,Cancelled
134,first class,Long
76,standard,Cancelled
76,standard,Cancelled
76,standard,Cancelled
11,standard,Long
7,standard,Long
7,standard,Long
7,first class,Cancelled
5,standard,Extreme
101,standard,Short
10,standard,Cancelled
10,standard,Cancelled
8,standard,Cancelled
53,standard,Cancelled
53,standard,Cancelled
53,standard,Cancelled
86,standard,Cancelled
113,standard,Cancelled
113,standard,Cancelled
8,standard,Cancelled
7,standard,Cancelled
9,standard,Cancelled
9,standard,Cancelled
76,standard,Long
76,standard,Long
76,standard,Long
76,standard,Long
11,standard,Long
4,standard,Cancelled
50,standard,Medium
84,standard,Medium
10,first class,Cancelled
7,standard,Cancelled
7,standard,Cancelled
8,standard,Cancelled
3,standard,Extreme
3,standard,Extreme
3,standard,Extreme
3,standard,Extreme
37,standard,Medium
126,standard,Long
13,standard,Cancelled
7,standard,Cancelled
113,standard,Long
113,standard,Long
113,standard,Long
12,standard,Extreme
72,standard,Cancelled
72,standard,Cancelled
73,standard,Cancelled
73,standard,Cancelled
3,standard,Cancelled
21,standard,Long
3,standard,Medium
3,standard,Medium
8,standard,Cancelled
8,standard,Cancelled
3,standard,Extreme
53,standard,Cancelled
53,standard,Cancelled
13,standard,Cancelled
84,standard,Medium
4,standard,Extreme
4,standard,Extreme
7,standard,Cancelled
10,standard,Cancelled
35,standard,Medium
3,standard,Extreme
3,standard,Extreme
35,standard,Medium
3,standard,Cancelled
11,standard,Extreme
3,standard,Cancelled
51,standard,Long
6,standard,Cancelled
6,standard,Cancelled
6,standard,Cancelled
6,standard,Cancelled
151,standard,Short
168,standard,Long
151,standard,Short
151,standard,Short
151,standard,Short
7,standard,Cancelled
13,standard,Cancelled
13,standard,Cancelled
13,standard,Cancelled
13,standard,Cancelled
13,standard,Cancelled
13,standard,Cancelled
76,standard,Medium
10,standard,Medium
12,standard,Cancelled
76,standard,Medium
126,standard,Medium
70,standard,Medium
70,standard,Medium
70,standard,Medium
5,standard,Extreme
5,standard,Extreme
5,standard,Extreme
47,standard,Medium
5,standard,Extreme
101,standard,Short
78,first class,Medium
126,standard,Medium
13,standard,Long
235,first class,Medium
267,first class,Long
151,standard,Medium
235,first class,Medium
8,standard,Long
25,standard,Cancelled
25,standard,Cancelled
10,standard,Extreme
7,standard,Long
76,standard,Cancelled
76,standard,Cancelled
76,standard,Cancelled
84,standard,Long
76,standard,Cancelled
4,standard,Extreme
118,first class,Cancelled
6,standard,Extreme
29,first class,Medium
2,standard,Extreme
113,standard,Medium
13,standard,Cancelled
50,standard,Medium
3,standard,Extreme
12,standard,Cancelled
76,standard,Medium
151,standard,Cancelled
151,standard,Cancelled
10,standard,Extreme
3,standard,Medium
13,standard,Cancelled
76,standard,Long
76,standard,Long
76,standard,Long
76,standard,Long
76,standard,Long
76,standard,Long
4,standard,Cancelled
4,standard,Cancelled
10,first class,Extreme
3,standard,Extreme
3,standard,Extreme
43,standard,Short
13,standard,Cancelled
34,first class,Medium
5,standard,Extreme
5,standard,Extreme
5,standard,Extreme
19,first class,Extreme
5,standard,Extreme
8,standard,Cancelled
4,standard,Long
4,standard,Long
4,standard,Long
2,standard,Cancelled
56,standard,Medium
13,standard,Cancelled
13,standard,Cancelled
35,standard,Short
35,standard,Short
37,standard,Long
17,standard,Cancelled
17,standard,Cancelled
126,standard,Long
126,standard,Long
12,standard,Cancelled
12,standard,Cancelled
80,first class,Cancelled
118,first class,Medium
151,standard,Long
151,standard,Long
151,standard,Long
151,standard,Long
151,standard,Long
9,standard,Cancelled
3,standard,Extreme
3,standard,Cancelled
52,first class,Cancelled
35,first class,Cancelled
10,standard,Cancelled
3,standard,Cancelled
9,standard,Long
9,standard,Long
69,first class,Long
9,standard,Long
9,standard,Long
69,first class,Long
9,standard,Long
3,standard,Cancelled
3,standard,Cancelled
31,standard,Cancelled
113,standard,Medium
70,standard,Short
70,standard,Short
70,standard,Short
70,standard,Short
84,standard,Medium
25,standard,Cancelled
56,standard,Medium
50,standard,Medium
7,standard,Cancelled
35,standard,Cancelled
35,standard,Cancelled
35,standard,Cancelled
3,standard,Cancelled
128,standard,Cancelled
3,standard,Cancelled
69,first class,Cancelled
13,standard,Long
10,standard,Extreme
3,standard,Cancelled
3,standard,Cancelled
13,standard,Cancelled
13,standard,Cancelled
14,first class,Extreme
14,first class,Extreme
76,standard,Long
21,standard,Long
118,first class,Long
84,standard,Medium
11,standard,Long
7,standard,Long
3,standard,Extreme
3,standard,Extreme
35,standard,Cancelled
126,standard,Medium
114,first class,Cancelled
114,first class,Cancelled
70,standard,Cancelled
70,standard,Cancelled
70,standard,Cancelled
3,standard,Cancelled
3,standard,Cancelled
3,standard,Cancelled
35,standard,Cancelled
35,standard,Cancelled
126,standard,Medium
113,standard,Long
113,standard,Long
31,standard,Long
113,standard,Long
5,standard,Cancelled
19,standard,Cancelled
19,standard,Cancelled
19,standard,Cancelled
10,first class,Extreme
4,standard,Extreme
76,standard,Long
84,standard,Medium
76,standard,Long
3,standard,Extreme
11,standard,Long
11,standard,Long
2,standard,Cancelled
3,standard,Extreme
3,standard,Extreme
7,standard,Cancelled
4,standard,Cancelled
76,standard,Medium
84,standard,Short
4,standard,Cancelled
4,standard,Cancelled
35,standard,Cancelled
3,standard,Long
4,standard,Cancelled
5,standard,Cancelled
5,standard,Cancelled
5,standard,Cancelled
50,standard,Cancelled
50,standard,Cancelled
70,first class,Cancelled
50,standard,Cancelled
8,standard,Cancelled
31,standard,Long
113,standard,Long
176,first class,Long
113,standard,Long
113,standard,Long
3,standard,Cancelled
13,standard,Cancelled
118,first class,Long
76,standard,Long
76,standard,Long
76,standard,Long
2,standard,Cancelled
2,standard,Cancelled
11,standard,Short
2,standard,Extreme
7,standard,Short
7,standard,Cancelled
10,standard,Cancelled
7,standard,Cancelled
52,first class,Cancelled
7,standard,Cancelled
7,standard,Cancelled
7,standard,Cancelled
50,standard,Short
82,first class,Short
11,standard,Short
134,first class,Medium
4,standard,Extreme
4,standard,Extreme
4,standard,Extreme
4,standard,Extreme
4,standard,Extreme
13,standard,Cancelled
35,standard,Cancelled
3,standard,Cancelled
3,standard,Cancelled
126,standard,Long
126,standard,Long
151,standard,Long
168,standard,Long
151,standard,Long
168,standard,Long
151,standard,Long
25,standard,Cancelled
25,standard,Cancelled
25,standard,Cancelled
47,standard,Cancelled
7,first class,Long
7,first class,Long
2,standard,Long
25,standard,Cancelled
3,standard,Cancelled
4,standard,Extreme
4,standard,Extreme
76,standard,Long
7,standard,Cancelled
7,standard,Long
3,standard,Extreme
3,standard,Cancelled
9,standard,Extreme
9,standard,Extreme
69,first class,Extreme
9,standard,Extreme
11,standard,Medium
157,first class,Medium
101,standard,Medium
25,standard,Cancelled
25,standard,Cancelled
25,standard,Cancelled
7,standard,Cancelled
5,standard,Cancelled
3,standard,Extreme
10,first class,Extreme
4,standard,Extreme
13,standard,Long
51,standard,Medium
6,standard,Cancelled
6,standard,Cancelled
2,standard,Long
8,standard,Cancelled
4,standard,Extreme
4,standard,Extreme
84,standard,Long
118,first class,Long
76,standard,Long
76,standard,Long
3,standard,Extreme
6,standard,Extreme
3,standard,Extreme
3,standard,Extreme
15,standard,Cancelled
15,standard,Cancelled
38,first class,Cancelled
43,standard,Short
5,standard,Extreme
76,standard,Short
5,standard,Extreme
8,standard,Cancelled
101,standard,Medium
27,first class,Cancelled
13,standard,Cancelled
3,standard,Extreme
3,standard,Extreme
3,standard,Extreme
3,standard,Cancelled
2,standard,Cancelled
128,standard,Cancelled
5,standard,Cancelled
84,standard,Long
2,standard,Cancelled
151,standard,Long
168,standard,Long
151,standard,Long
3,standard,Extreme
4,standard,Cancelled
7,standard,Cancelled
4,standard,Extreme
7,standard,Cancelled
18,standard,Cancelled
18,standard,Cancelled
76,standard,Long
76,standard,Long
76,standard,Long
4,standard,Extreme
6,standard,Cancelled
4,standard,Extreme
76,standard,Long
76,standard,Long
7,standard,Medium
10,first class,Medium
36,first class,Cancelled
