Date of Journey,Price
2024-01-01,1682
2024-01-02,4830
2024-01-03,7159
2024-01-04,7063
2024-01-05,5934
2024-01-06,5778
2024-01-07,5495
2024-01-08,6737
2024-01-09,7359
2024-01-10,6655
2024-01-11,7405
2024-01-12,6718
2024-01-13,5871
2024-01-14,6007
2024-01-15,6530
2024-01-16,6227
2024-01-17,7028
2024-01-18,7279
2024-01-19,7420
2024-01-20,5437
2024-01-21,5148
2024-01-22,7378
2024-01-23,6212
2024-01-24,6651
2024-01-25,7027
2024-01-26,6904
2024-01-27,6313
2024-01-28,7099
2024-01-29,7062
2024-01-30,6014
2024-01-31,9196
2024-02-01,6204
2024-02-02,7235
2024-02-03,6295
2024-02-04,5573
2024-02-05,6080
2024-02-06,6354
2024-02-07,5683
2024-02-08,5433
2024-02-09,5546
2024-02-10,5148
2024-02-11,4567
2024-02-12,6051
2024-02-13,6300
2024-02-14,6587
2024-02-15,5394
2024-02-16,5193
2024-02-17,5345
2024-02-18,5410
2024-02-19,4669
2024-02-20,5475
2024-02-21,5921
2024-02-22,5178
2024-02-23,4200
2024-02-24,3994
2024-02-25,5325
2024-02-26,5322
2024-02-27,5183
2024-02-28,5271
2024-02-29,4438
2024-03-01,1805
2024-03-02,4532
2024-03-03,5992
2024-03-04,5936
2024-03-05,7213
2024-03-06,7046
2024-03-07,6286
2024-03-08,7375
2024-03-09,6952
2024-03-10,6491
2024-03-11,6905
2024-03-12,6692
2024-03-13,7170
2024-03-14,6698
2024-03-15,6777
2024-03-16,5174
2024-03-17,5987
2024-03-18,7223
2024-03-19,5692
2024-03-20,6552
2024-03-21,7207
2024-03-22,6366
2024-03-23,5944
2024-03-24,5615
2024-03-25,7110
2024-03-26,7150
2024-03-27,6315
2024-03-28,5414
2024-03-29,6660
2024-03-30,5865
2024-03-31,7003
2024-04-01,1562
2024-04-02,4083
2024-04-03,7041
2024-04-04,5637
2024-04-05,6403
2024-04-06,5653
2024-04-07,6036
2024-04-08,7019
2024-04-09,8092
2024-04-10,5467
2024-04-11,6593
2024-04-12,7719
2024-04-13,5971
2024-04-14,6053
2024-04-15,7506
2024-04-16,7118
2024-04-17,7249
2024-04-18,6575
2024-04-19,7053
2024-04-20,5957
2024-04-21,5592
2024-04-22,7107
2024-04-23,6944
2024-04-24,6811
2024-04-25,5411
2024-04-26,6125
2024-04-27,6707
2024-04-28,6655
2024-04-29,5893
2024-04-30,5750
