Date of Journey,Departure Station,Arrival Destination,Departure Time,Percentage Delay,Delay Category,Departure Hour,DayOfWeek,IsWeekend,Month,IsPeakHour
2024-01-01,london paddington,liverpool lime street,2025-11-24 11:00:00,0.0,On Time,11,0,0,11,False
2024-01-01,london kings cross,york,2025-11-24 09:45:00,4.545454545454546,Short,9,0,0,11,True
2024-01-02,liverpool lime street,manchester piccadilly,2025-11-24 18:15:00,0.0,On Time,18,0,0,11,True
2024-01-01,london paddington,reading,2025-11-24 21:30:00,0.0,On Time,21,0,0,11,False
2024-01-01,liverpool lime street,london euston,2025-11-24 16:45:00,0.0,On Time,16,0,0,11,True
2024-01-01,london kings cross,york,2025-11-24 06:15:00,0.0,On Time,6,0,0,11,False
2024-01-01,london euston,oxford,2025-11-24 22:30:00,0.0,On Time,22,0,0,11,False
2024-01-01,liverpool lime street,manchester piccadilly,2025-11-24 00:00:00,0.0,On Time,0,0,0,11,False
2024-01-01,london euston,york,2025-11-24 00:00:00,15.454545454545453,Medium,0,0,0,11,False
2024-01-01,london paddington,reading,2025-11-24 01:30:00,0.0,On Time,1,0,0,11,False
2024-01-01,york,durham,2025-11-24 01:45:00,0.0,On Time,1,0,0,11,False
2024-01-01,london paddington,reading,2025-11-24 02:15:00,0.0,On Time,2,0,0,11,False
2024-01-01,manchester piccadilly,liverpool lime street,2025-11-24 04:15:00,0.0,On Time,4,0,0,11,False
2024-01-01,manchester piccadilly,liverpool lime street,2025-11-24 05:00:00,0.0,On Time,5,0,0,11,False
2024-01-01,birmingham new street,london st pancras,2025-11-24 06:30:00,0.0,On Time,6,0,0,11,False
2024-01-01,london paddington,reading,2025-11-24 07:45:00,0.0,On Time,7,0,0,11,True
2024-01-01,london paddington,reading,2025-11-24 07:45:00,0.0,On Time,7,0,0,11,True
2024-01-01,london st pancras,birmingham new street,2025-11-24 07:30:00,0.0,On Time,7,0,0,11,True
2024-01-01,london kings cross,york,2025-11-24 07:30:00,0.0,On Time,7,0,0,11,True
2024-01-01,london kings cross,york,2025-11-24 09:00:00,0.0,On Time,9,0,0,11,True
2024-01-01,birmingham new street,manchester piccadilly,2025-11-24 11:15:00,38.75,Long,11,0,0,11,False
