Departure Station,Arrival Destination,Percentage Delay
london paddington,liverpool lime street,0.0
london kings cross,york,4.545454545454546
liverpool lime street,manchester piccadilly,0.0
london paddington,reading,0.0
liverpool lime street,london euston,0.0
london kings cross,york,0.0
london euston,oxford,0.0
liverpool lime street,manchester piccadilly,0.0
london euston,york,15.454545454545453
london paddington,reading,0.0
york,durham,0.0
london paddington,reading,0.0
manchester piccadilly,liverpool lime street,0.0
manchester piccadilly,liverpool lime street,0.0
birmingham new street,london st pancras,0.0
london paddington,reading,0.0
london paddington,reading,0.0
london st pancras,birmingham new street,0.0
london kings cross,york,0.0
london kings cross,york,0.0
birmingham new street,manchester piccadilly,38.75
liverpool lime street,manchester piccadilly,0.0
london kings cross,york,0.0
london euston,birmingham new street,0.0
london euston,birmingham new street,0.0
manchester piccadilly,london paddington,0.0
oxford,bristol temple meads,32.0
london paddington,reading,0.0
london euston,birmingham new street,0.0
london kings cross,york,0.0
london st pancras,birmingham new street,0.0
london paddington,reading,0.0
london kings cross,york,0.0
birmingham new street,tamworth,0.0
london euston,birmingham new street,-0.0
manchester piccadilly,liverpool lime street,0.0
london st pancras,birmingham new street,0.0
birmingham new street,london st pancras,0.0
liverpool lime street,manchester piccadilly,0.0
manchester piccadilly,liverpool lime street,0.0
liverpool lime street,manchester piccadilly,0.0
london kings cross,york,0.0
london kings cross,york,0.0
london st pancras,birmingham new street,0.0
manchester piccadilly,london euston,10.0
birmingham new street,london st pancras,0.0
london kings cross,york,0.0
london kings cross,york,0.0
london paddington,london waterloo,0.0
london kings cross,york,0.0
liverpool lime street,london euston,17.77777777777778
london st pancras,birmingham new street,0.0
manchester piccadilly,sheffield,0.0
london paddington,reading,0.0
london paddington,reading,0.0
liverpool lime street,manchester piccadilly,0.0
birmingham new street,london st pancras,0.0
london st pancras,wolverhampton,0.0
manchester piccadilly,liverpool lime street,0.0
london euston,birmingham new street,0.0
manchester piccadilly,london euston,16.363636363636363
london kings cross,york,0.0
manchester piccadilly,liverpool lime street,0.0
london st pancras,birmingham new street,0.0
london paddington,reading,0.0
manchester piccadilly,liverpool lime street,0.0
london euston,birmingham new street,0.0
liverpool lime street,london euston,0.0
liverpool lime street,manchester piccadilly,0.0
manchester piccadilly,liverpool lime street,0.0
london st pancras,birmingham new street,0.0
liverpool lime street,manchester piccadilly,0.0
london st pancras,birmingham new street,0.0
london st pancras,birmingham new street,0.0
london st pancras,birmingham new street,0.0
london st pancras,birmingham new street,0.0
london st pancras,birmingham new street,0.0
london st pancras,birmingham new street,0.0
london kings cross,york,0.0
manchester piccadilly,liverpool lime street,0.0
manchester piccadilly,liverpool lime street,0.0
liverpool lime street,manchester piccadilly,0.0
manchester piccadilly,liverpool lime street,0.0
london st pancras,birmingham new street,0.0
oxford,bristol temple meads,0.0
york,durham,0.0
manchester piccadilly,london euston,0.0
york,durham,0.0
london paddington,reading,0.0
liverpool lime street,manchester piccadilly,-0.0
manchester piccadilly,liverpool lime street,0.0
london kings cross,york,-0.0
york,durham,-0.0
liverpool lime street,manchester piccadilly,0.0
york,durham,-0.0
manchester piccadilly,liverpool lime street,0.0
liverpool lime street,manchester piccadilly,0.0
london paddington,reading,0.0
manchester piccadilly,london euston,10.0
liverpool lime street,manchester piccadilly,0.0
london st pancras,birmingham new street,0.0
london st pancras,birmingham new street,0.0
manchester piccadilly,london paddington,0.0
london kings cross,york,0.0
liverpool lime street,leeds,0.0
liverpool lime street,manchester piccadilly,0.0
london paddington,reading,0.0
london paddington,reading,0.0
london paddington,reading,0.0
london kings cross,york,0.0
london euston,birmingham new street,0.0
manchester piccadilly,liverpool lime street,0.0
london euston,birmingham new street,0.0
liverpool lime street,manchester piccadilly,0.0
manchester piccadilly,liverpool lime street,0.0
london kings cross,york,27.27272727272727
london paddington,reading,0.0
london paddington,reading,0.0
london paddington,reading,0.0
manchester piccadilly,liverpool lime street,0.0
london kings cross,york,27.27272727272727
manchester piccadilly,liverpool lime street,0.0
birmingham new street,stafford,0.0
london euston,birmingham new street,0.0
birmingham new street,london st pancras,0.0
london st pancras,birmingham new street,0.0
manchester piccadilly,london euston,16.363636363636363
birmingham new street,london euston,0.0
york,doncaster,0.0
london euston,manchester piccadilly,0.0
london st pancras,wolverhampton,0.0
manchester piccadilly,liverpool lime street,0.0
london kings cross,york,0.0
london kings cross,york,0.0
london euston,birmingham new street,0.0
london euston,birmingham new street,0.0
london kings cross,york,0.0
liverpool lime street,manchester piccadilly,0.0
london kings cross,york,0.0
london st pancras,birmingham new street,0.0
birmingham new street,london st pancras,0.0
reading,swindon,0.0
london kings cross,york,0.0
london euston,birmingham new street,0.0
liverpool lime street,london euston,0.0
london euston,manchester piccadilly,0.0
oxford,bristol temple meads,0.0
liverpool lime street,london euston,0.0
london st pancras,birmingham new street,0.0
london euston,birmingham new street,0.0
manchester piccadilly,liverpool lime street,0.0
manchester piccadilly,liverpool lime street,0.0
london paddington,oxford,0.0
london paddington,reading,0.0
london paddington,reading,0.0
london euston,birmingham new street,0.0
manchester piccadilly,liverpool lime street,0.0
london paddington,oxford,0.0
london kings cross,york,0.0
liverpool lime street,manchester piccadilly,0.0
london paddington,reading,0.0
manchester piccadilly,nottingham,98.33333333333333
manchester piccadilly,leeds,386.6666666666667
london kings cross,york,0.0
manchester piccadilly,liverpool lime street,0.0
london kings cross,york,0.0
manchester piccadilly,liverpool lime street,0.0
manchester piccadilly,liverpool lime street,0.0
manchester piccadilly,liverpool lime street,0.0
manchester piccadilly,liverpool lime street,0.0
york,doncaster,0.0
birmingham new street,london st pancras,0.0
london st pancras,birmingham new street,0.0
london st pancras,birmingham new street,0.0
london paddington,oxford,0.0
london paddington,reading,0.0
london kings cross,york,0.0
london kings cross,york,0.0
