Date of Journey,Departure Station,Arrival Destination,Departure Time,Departure Hour,DayOfWeek,IsWeekend,Month,IsPeakHour
2024-01-01,london paddington,liverpool lime street,2025-11-23 11:00:00,11,6,1,11,False
2024-01-01,london kings cross,york,2025-11-23 09:45:00,9,6,1,11,True
2024-01-02,liverpool lime street,manchester piccadilly,2025-11-23 18:15:00,18,6,1,11,True
2024-01-01,london paddington,reading,2025-11-23 21:30:00,21,6,1,11,False
2024-01-01,liverpool lime street,london euston,2025-11-23 16:45:00,16,6,1,11,True
2024-01-01,london kings cross,york,2025-11-23 06:15:00,6,6,1,11,False
2024-01-01,london euston,oxford,2025-11-23 22:30:00,22,6,1,11,False
2024-01-01,liverpool lime street,manchester piccadilly,2025-11-23 00:00:00,0,6,1,11,False
2024-01-01,london euston,york,2025-11-23 00:00:00,0,6,1,11,False
2024-01-01,london paddington,reading,2025-11-23 01:30:00,1,6,1,11,False
2024-01-01,york,durham,2025-11-23 01:45:00,1,6,1,11,False
2024-01-01,london paddington,reading,2025-11-23 02:15:00,2,6,1,11,False
2024-01-01,manchester piccadilly,liverpool lime street,2025-11-23 04:15:00,4,6,1,11,False
2024-01-01,manchester piccadilly,liverpool lime street,2025-11-23 05:00:00,5,6,1,11,False
2024-01-01,birmingham new street,london st pancras,2025-11-23 06:30:00,6,6,1,11,False
2024-01-01,london paddington,reading,2025-11-23 07:45:00,7,6,1,11,True
2024-01-01,london paddington,reading,2025-11-23 07:45:00,7,6,1,11,True
2024-01-01,london st pancras,birmingham new street,2025-11-23 07:30:00,7,6,1,11,True
2024-01-01,london kings cross,york,2025-11-23 07:30:00,7,6,1,11,True
2024-01-01,london kings cross,york,2025-11-23 09:00:00,9,6,1,11,True
2024-01-01,birmingham new street,manchester piccadilly,2025-11-23 11:15:00,11,6,1,11,False
2024-01-01,liverpool lime street,manchester piccadilly,2025-11-23 10:30:00,10,6,1,11,False
2024-01-01,london kings cross,york,2025-11-23 09:30:00,9,6,1,11,True
2024-01-01,london euston,birmingham new street,2025-11-23 12:45:00,12,6,1,11,False
2024-01-01,london euston,birmingham new street,2025-11-23 13:15:00,13,6,1,11,False
2024-01-01,manchester piccadilly,london paddington,2025-11-23 13:45:00,13,6,1,11,False
2024-01-01,oxford,bristol temple meads,2025-11-23 14:15:00,14,6,1,11,False
2024-01-01,london paddington,reading,2025-11-23 15:00:00,15,6,1,11,False
2024-01-01,london euston,birmingham new street,2025-11-23 16:30:00,16,6,1,11,True
2024-01-01,london kings cross,york,2025-11-23 17:00:00,17,6,1,11,True
2024-01-01,london st pancras,birmingham new street,2025-11-23 17:45:00,17,6,1,11,True
2024-01-01,london paddington,reading,2025-11-23 18:15:00,18,6,1,11,True
2024-01-01,london kings cross,york,2025-11-23 17:45:00,17,6,1,11,True
2024-01-01,birmingham new street,tamworth,2025-11-23 18:45:00,18,6,1,11,True
2024-01-01,london euston,birmingham new street,2025-11-23 23:30:00,23,6,1,11,False
2024-01-01,manchester piccadilly,liverpool lime street,2025-11-23 02:45:00,2,6,1,11,False
2024-01-01,london st pancras,birmingham new street,2025-11-23 04:30:00,4,6,1,11,False
2024-01-01,birmingham new street,london st pancras,2025-11-23 04:30:00,4,6,1,11,False
2024-01-01,liverpool lime street,manchester piccadilly,2025-11-23 05:00:00,5,6,1,11,False
2024-01-02,london euston,birmingham new street,2025-11-23 02:15:00,2,6,1,11,False
2024-01-01,manchester piccadilly,liverpool lime street,2025-11-23 05:30:00,5,6,1,11,False
2024-01-01,liverpool lime street,manchester piccadilly,2025-11-23 06:00:00,6,6,1,11,False
2024-01-01,london kings cross,york,2025-11-23 06:15:00,6,6,1,11,False
2024-01-01,london kings cross,york,2025-11-23 06:30:00,6,6,1,11,False
2024-01-01,london st pancras,birmingham new street,2025-11-23 06:30:00,6,6,1,11,False
2024-01-02,manchester piccadilly,london euston,2025-11-23 03:30:00,3,6,1,11,False
2024-01-01,birmingham new street,london st pancras,2025-11-23 06:30:00,6,6,1,11,False
2024-01-01,london kings cross,york,2025-11-23 06:45:00,6,6,1,11,False
2024-01-01,london kings cross,york,2025-11-23 07:30:00,7,6,1,11,True
2024-01-01,london paddington,london waterloo,2025-11-23 07:30:00,7,6,1,11,True
2024-01-01,london kings cross,york,2025-11-23 07:45:00,7,6,1,11,True
2024-01-01,liverpool lime street,london euston,2025-11-23 08:00:00,8,6,1,11,True
2024-01-01,london st pancras,birmingham new street,2025-11-23 08:00:00,8,6,1,11,True
2024-01-01,manchester piccadilly,sheffield,2025-11-23 08:15:00,8,6,1,11,True
2024-01-01,london paddington,reading,2025-11-23 08:45:00,8,6,1,11,True
2024-01-01,london paddington,reading,2025-11-23 07:45:00,7,6,1,11,True
2024-01-01,liverpool lime street,manchester piccadilly,2025-11-23 09:15:00,9,6,1,11,True
2024-01-02,birmingham new street,london st pancras,2025-11-23 06:30:00,6,6,1,11,False
2024-01-02,london st pancras,wolverhampton,2025-11-23 06:30:00,6,6,1,11,False
2024-01-02,manchester piccadilly,liverpool lime street,2025-11-23 07:45:00,7,6,1,11,True
2024-01-01,london euston,birmingham new street,2025-11-23 09:45:00,9,6,1,11,True
2024-01-02,manchester piccadilly,london euston,2025-11-23 08:00:00,8,6,1,11,True
2024-01-01,london kings cross,york,2025-11-23 11:45:00,11,6,1,11,False
2024-01-01,manchester piccadilly,liverpool lime street,2025-11-23 13:15:00,13,6,1,11,False
2024-01-01,london st pancras,birmingham new street,2025-11-23 14:15:00,14,6,1,11,False
2024-01-01,london paddington,reading,2025-11-23 15:30:00,15,6,1,11,False
2024-01-01,manchester piccadilly,liverpool lime street,2025-11-23 16:00:00,16,6,1,11,True
2024-01-01,london euston,birmingham new street,2025-11-23 16:00:00,16,6,1,11,True
2024-01-01,liverpool lime street,london euston,2025-11-23 17:00:00,17,6,1,11,True
2024-01-01,liverpool lime street,manchester piccadilly,2025-11-23 17:15:00,17,6,1,11,True
