Delay Category
On Time
Short
On Time
On Time
On Time
On Time
On Time
On Time
Medium
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
Long
On Time
On Time
On Time
On Time
On Time
Long
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
Cancelled
On Time
On Time
On Time
On Time
On Time
Short
On Time
On Time
On Time
On Time
On Time
Medium
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
Medium
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
Cancelled
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
Cancelled
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
Short
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
Cancelled
On Time
On Time
On Time
On Time
On Time
On Time
On Time
Medium
On Time
On Time
On Time
On Time
Medium
On Time
On Time
On Time
On Time
On Time
Medium
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
Cancelled
Cancelled
On Time
Cancelled
On Time
Cancelled
Cancelled
On Time
Cancelled
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
Long
Extreme
On Time
On Time
On Time
On Time
On Time
Cancelled
On Time
On Time
On Time
On Time
On Time
On Time
On Time
Cancelled
On Time
On Time
On Time
On Time
Cancelled
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
Long
Long
Long
On Time
On Time
On Time
On Time
Cancelled
On Time
On Time
Long
On Time
On Time
On Time
On Time
Extreme
On Time
On Time
On Time
On Time
On Time
On Time
Cancelled
On Time
On Time
Extreme
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
Cancelled
On Time
On Time
On Time
Cancelled
Cancelled
On Time
On Time
Cancelled
Cancelled
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
Medium
On Time
On Time
On Time
On Time
On Time
On Time
Cancelled
On Time
On Time
Cancelled
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
Medium
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
Cancelled
On Time
Cancelled
On Time
On Time
On Time
On Time
On Time
Cancelled
On Time
Cancelled
On Time
On Time
Cancelled
On Time
On Time
Cancelled
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
Cancelled
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
Medium
On Time
On Time
Cancelled
Cancelled
On Time
On Time
Cancelled
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
On Time
Cancelled
On Time
Cancelled
