Date of Journey,Route,Demand
2024-01-01,birmingham new street-london st pancras,3
2024-01-01,birmingham new street-manchester piccadilly,1
2024-01-01,birmingham new street-tamworth,1
2024-01-01,liverpool lime street-london euston,3
2024-01-01,liverpool lime street-manchester piccadilly,7
2024-01-01,london euston-birmingham new street,6
2024-01-01,london euston-oxford,1
2024-01-01,london euston-york,1
2024-01-01,london kings cross-york,13
2024-01-01,london paddington-liverpool lime street,1
2024-01-01,london paddington-london waterloo,1
2024-01-01,london paddington-reading,10
2024-01-01,london st pancras-birmingham new street,7
2024-01-01,manchester piccadilly-liverpool lime street,7
2024-01-01,manchester piccadilly-london paddington,1
2024-01-01,manchester piccadilly-sheffield,1
2024-01-01,oxford-bristol temple meads,1
2024-01-01,york-durham,1
2024-01-02,birmingham new street-london euston,1
2024-01-02,birmingham new street-london st pancras,2
2024-01-02,birmingham new street-stafford,3
2024-01-02,birmingham new street-tamworth,1
2024-01-02,liverpool lime street-crewe,1
2024-01-02,liverpool lime street-london euston,5
2024-01-02,liverpool lime street-manchester piccadilly,12
2024-01-02,london euston-birmingham new street,17
2024-01-02,london euston-manchester piccadilly,3
2024-01-02,london kings cross-liverpool lime street,1
2024-01-02,london kings cross-york,21
2024-01-02,london paddington-oxford,2
2024-01-02,london paddington-reading,11
2024-01-02,london st pancras-birmingham new street,20
2024-01-02,london st pancras-leicester,1
2024-01-02,london st pancras-wolverhampton,4
2024-01-02,manchester piccadilly-leeds,1
2024-01-02,manchester piccadilly-liverpool lime street,24
2024-01-02,manchester piccadilly-london euston,4
2024-01-02,manchester piccadilly-nottingham,1
2024-01-02,oxford-bristol temple meads,2
2024-01-02,reading-london paddington,1
2024-01-02,reading-swindon,2
2024-01-02,york-doncaster,1
2024-01-02,york-durham,2
2024-01-02,york-edinburgh,2
2024-01-02,york-peterborough,1
2024-01-03,birmingham new street-edinburgh,1
2024-01-03,birmingham new street-liverpool lime street,1
2024-01-03,birmingham new street-london st pancras,6
2024-01-03,birmingham new street-manchester piccadilly,2
2024-01-03,birmingham new street-nuneaton,4
2024-01-03,birmingham new street-reading,1
2024-01-03,birmingham new street-stafford,1
2024-01-03,birmingham new street-tamworth,1
2024-01-03,edinburgh waverley-london kings cross,1
2024-01-03,liverpool lime street-leeds,3
2024-01-03,liverpool lime street-london euston,11
2024-01-03,liverpool lime street-manchester piccadilly,34
2024-01-03,london euston-birmingham new street,32
2024-01-03,london euston-manchester piccadilly,6
2024-01-03,london kings cross-edinburgh waverley,2
2024-01-03,london kings cross-liverpool lime street,3
2024-01-03,london kings cross-york,34
2024-01-03,london paddington-oxford,5
2024-01-03,london paddington-reading,46
2024-01-03,london st pancras-birmingham new street,25
2024-01-03,london st pancras-leicester,3
2024-01-03,manchester piccadilly-leeds,1
2024-01-03,manchester piccadilly-liverpool lime street,38
2024-01-03,manchester piccadilly-london euston,2
2024-01-03,manchester piccadilly-london kings cross,1
2024-01-03,manchester piccadilly-london paddington,2
2024-01-03,manchester piccadilly-york,1
2024-01-03,reading-didcot,2
2024-01-03,reading-london paddington,2
2024-01-03,reading-oxford,1
2024-01-03,reading-swindon,7
2024-01-03,york-birmingham new street,1
2024-01-03,york-doncaster,4
2024-01-03,york-durham,5
2024-01-03,york-edinburgh,2
2024-01-03,york-peterborough,1
2024-01-04,birmingham new street-liverpool lime street,2
2024-01-04,birmingham new street-london euston,1
2024-01-04,birmingham new street-london paddington,1
2024-01-04,birmingham new street-london st pancras,4
