Departure Station,Arrival Destination,Railcard,Ticket Type,Lead Time,Price,Ticket Class
london paddington,liverpool lime street,adult,advance,24 days,43,standard
london kings cross,york,adult,advance,16 days,23,standard
liverpool lime street,manchester piccadilly,no railcard,advance,14 days,3,standard
london paddington,reading,no railcard,advance,12 days,13,standard
liverpool lime street,london euston,no railcard,advance,5 days,76,standard
london kings cross,york,no railcard,advance,2 days,35,standard
london euston,oxford,adult,advance,1 days,2,standard
liverpool lime street,manchester piccadilly,disabled,advance,1 days,2,standard
london euston,york,no railcard,advance,1 days,37,standard
london paddington,reading,no railcard,advance,1 days,13,standard
york,durham,no railcard,advance,1 days,8,standard
london paddington,reading,adult,advance,1 days,8,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
birmingham new street,london st pancras,disabled,advance,1 days,15,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london kings cross,york,no railcard,advance,1 days,35,standard
birmingham new street,manchester piccadilly,adult,advance,1 days,7,standard
liverpool lime street,manchester piccadilly,disabled,advance,1 days,2,standard
london kings cross,york,senior,advance,1 days,23,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
manchester piccadilly,london paddington,no railcard,advance,1 days,86,standard
oxford,bristol temple meads,senior,advance,1 days,34,first class
london paddington,reading,no railcard,advance,1 days,13,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london kings cross,york,no railcard,advance,1 days,57,first class
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london kings cross,york,no railcard,advance,1 days,35,standard
birmingham new street,tamworth,no railcard,advance,1 days,5,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
birmingham new street,london st pancras,no railcard,off-peak,0 days,33,standard
liverpool lime street,manchester piccadilly,adult,off-peak,0 days,3,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
liverpool lime street,manchester piccadilly,disabled,anytime,0 days,4,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
manchester piccadilly,london euston,no railcard,advance,1 days,134,first class
birmingham new street,london st pancras,disabled,anytime,0 days,29,standard
london kings cross,york,adult,anytime,0 days,47,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
london paddington,london waterloo,no railcard,anytime,0 days,6,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
liverpool lime street,london euston,no railcard,anytime,0 days,151,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
manchester piccadilly,sheffield,no railcard,anytime,0 days,7,standard
london paddington,reading,no railcard,anytime,0 days,25,standard
london paddington,reading,no railcard,anytime,0 days,25,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
birmingham new street,london st pancras,disabled,advance,1 days,15,standard
london st pancras,wolverhampton,disabled,advance,1 days,21,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london euston,birmingham new street,senior,off-peak,0 days,7,standard
manchester piccadilly,london euston,no railcard,advance,1 days,134,first class
london kings cross,york,no railcard,off-peak,0 days,53,standard
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,3,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
