Departure Station,Arrival Destination,Railcard,Ticket Type,Lead Time,Price
london paddington,liverpool lime street,adult,advance,24 days,43
london kings cross,york,adult,advance,16 days,23
liverpool lime street,manchester piccadilly,no railcard,advance,14 days,3
london paddington,reading,no railcard,advance,12 days,13
liverpool lime street,london euston,no railcard,advance,5 days,76
london kings cross,york,no railcard,advance,2 days,35
london euston,oxford,adult,advance,1 days,2
liverpool lime street,manchester piccadilly,disabled,advance,1 days,2
london euston,york,no railcard,advance,1 days,37
london paddington,reading,no railcard,advance,1 days,13
york,durham,no railcard,advance,1 days,8
london paddington,reading,adult,advance,1 days,8
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
birmingham new street,london st pancras,disabled,advance,1 days,15
london paddington,reading,no railcard,advance,1 days,13
london paddington,reading,no railcard,advance,1 days,13
london st pancras,birmingham new street,no railcard,advance,1 days,8
london kings cross,york,no railcard,advance,1 days,35
london kings cross,york,no railcard,advance,1 days,35
birmingham new street,manchester piccadilly,adult,advance,1 days,7
liverpool lime street,manchester piccadilly,disabled,advance,1 days,2
london kings cross,york,senior,advance,1 days,23
london euston,birmingham new street,no railcard,advance,1 days,7
london euston,birmingham new street,no railcard,advance,1 days,7
manchester piccadilly,london paddington,no railcard,advance,1 days,86
oxford,bristol temple meads,senior,advance,1 days,34
london paddington,reading,no railcard,advance,1 days,13
london euston,birmingham new street,no railcard,advance,1 days,7
london kings cross,york,no railcard,advance,1 days,57
london st pancras,birmingham new street,no railcard,advance,1 days,8
london paddington,reading,no railcard,advance,1 days,13
london kings cross,york,no railcard,advance,1 days,35
birmingham new street,tamworth,no railcard,advance,1 days,5
london euston,birmingham new street,no railcard,off-peak,0 days,10
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
birmingham new street,london st pancras,no railcard,off-peak,0 days,33
liverpool lime street,manchester piccadilly,adult,off-peak,0 days,3
london euston,birmingham new street,no railcard,advance,1 days,7
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
liverpool lime street,manchester piccadilly,disabled,anytime,0 days,4
london kings cross,york,no railcard,anytime,0 days,70
london kings cross,york,no railcard,anytime,0 days,70
london st pancras,birmingham new street,no railcard,anytime,0 days,16
manchester piccadilly,london euston,no railcard,advance,1 days,134
birmingham new street,london st pancras,disabled,anytime,0 days,29
london kings cross,york,adult,anytime,0 days,47
london kings cross,york,no railcard,anytime,0 days,70
london paddington,london waterloo,no railcard,anytime,0 days,6
london kings cross,york,no railcard,anytime,0 days,70
liverpool lime street,london euston,no railcard,anytime,0 days,151
london st pancras,birmingham new street,no railcard,anytime,0 days,16
manchester piccadilly,sheffield,no railcard,anytime,0 days,7
london paddington,reading,no railcard,anytime,0 days,25
london paddington,reading,no railcard,anytime,0 days,25
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5
birmingham new street,london st pancras,disabled,advance,1 days,15
london st pancras,wolverhampton,disabled,advance,1 days,21
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
london euston,birmingham new street,senior,off-peak,0 days,7
manchester piccadilly,london euston,no railcard,advance,1 days,134
london kings cross,york,no railcard,off-peak,0 days,53
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,3
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
london paddington,reading,no railcard,off-peak,0 days,19
manchester piccadilly,liverpool lime street,senior,anytime,0 days,3
london euston,birmingham new street,adult,anytime,0 days,9
liverpool lime street,london euston,no railcard,anytime,0 days,151
liverpool lime street,manchester piccadilly,no railcard,anytime,0 days,20
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,19
london st pancras,birmingham new street,no railcard,advance,1 days,8
liverpool lime street,manchester piccadilly,adult,anytime,0 days,4
london st pancras,birmingham new street,no railcard,advance,1 days,54
london st pancras,birmingham new street,no railcard,anytime,0 days,16
london euston,birmingham new street,disabled,advance,1 days,35
london st pancras,birmingham new street,adult,advance,1 days,5
london st pancras,birmingham new street,no railcard,advance,1 days,8
london st pancras,birmingham new street,no railcard,advance,1 days,54
london st pancras,birmingham new street,no railcard,advance,1 days,8
london kings cross,york,no railcard,advance,1 days,57
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,10
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
manchester piccadilly,liverpool lime street,adult,advance,1 days,6
london st pancras,birmingham new street,no railcard,advance,1 days,54
oxford,bristol temple meads,adult,off-peak,0 days,17
york,durham,no railcard,off-peak,0 days,11
manchester piccadilly,london euston,adult,off-peak,0 days,84
york,durham,no railcard,off-peak,0 days,11
london paddington,reading,no railcard,off-peak,0 days,41
london euston,birmingham new street,no railcard,off-peak,0 days,10
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
london kings cross,york,disabled,advance,1 days,23
york,durham,disabled,advance,1 days,5
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5
york,durham,disabled,advance,1 days,5
manchester piccadilly,liverpool lime street,adult,advance,1 days,6
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
london paddington,reading,no railcard,off-peak,0 days,19
manchester piccadilly,london euston,no railcard,off-peak,0 days,200
liverpool lime street,manchester piccadilly,disabled,advance,1 days,2
london st pancras,birmingham new street,disabled,advance,1 days,5
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
manchester piccadilly,london paddington,no railcard,advance,1 days,86
london kings cross,york,no railcard,advance,1 days,35
liverpool lime street,leeds,no railcard,advance,1 days,10
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
london paddington,reading,disabled,advance,1 days,8
london paddington,reading,no railcard,advance,1 days,27
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
london paddington,reading,no railcard,advance,1 days,13
london kings cross,york,no railcard,advance,1 days,35
london euston,birmingham new street,no railcard,off-peak,0 days,10
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
