Ticket Type,Ticket Class,Departure Station,Arrival Destination,Railcard,Lead Time,Price
advance,standard,london paddington,liverpool lime street,adult,24 days,43
advance,standard,london kings cross,york,adult,16 days,23
advance,standard,liverpool lime street,manchester piccadilly,no railcard,14 days,3
advance,standard,london paddington,reading,no railcard,12 days,13
advance,standard,liverpool lime street,london euston,no railcard,5 days,76
advance,standard,london kings cross,york,no railcard,2 days,35
advance,standard,london euston,oxford,adult,1 days,2
advance,standard,liverpool lime street,manchester piccadilly,disabled,1 days,2
advance,standard,london euston,york,no railcard,1 days,37
advance,standard,london paddington,reading,no railcard,1 days,13
advance,standard,york,durham,no railcard,1 days,8
advance,standard,london paddington,reading,adult,1 days,8
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
advance,standard,birmingham new street,london st pancras,disabled,1 days,15
advance,standard,london paddington,reading,no railcard,1 days,13
advance,standard,london paddington,reading,no railcard,1 days,13
advance,standard,london st pancras,birmingham new street,no railcard,1 days,8
advance,standard,london kings cross,york,no railcard,1 days,35
advance,standard,london kings cross,york,no railcard,1 days,35
advance,standard,birmingham new street,manchester piccadilly,adult,1 days,7
advance,standard,liverpool lime street,manchester piccadilly,disabled,1 days,2
advance,standard,london kings cross,york,senior,1 days,23
advance,standard,london euston,birmingham new street,no railcard,1 days,7
advance,standard,london euston,birmingham new street,no railcard,1 days,7
advance,standard,manchester piccadilly,london paddington,no railcard,1 days,86
advance,first class,oxford,bristol temple meads,senior,1 days,34
advance,standard,london paddington,reading,no railcard,1 days,13
advance,standard,london euston,birmingham new street,no railcard,1 days,7
advance,first class,london kings cross,york,no railcard,1 days,57
advance,standard,london st pancras,birmingham new street,no railcard,1 days,8
advance,standard,london paddington,reading,no railcard,1 days,13
advance,standard,london kings cross,york,no railcard,1 days,35
advance,standard,birmingham new street,tamworth,no railcard,1 days,5
off-peak,standard,london euston,birmingham new street,no railcard,0 days,10
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days,4
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days,12
off-peak,standard,birmingham new street,london st pancras,no railcard,0 days,33
off-peak,standard,liverpool lime street,manchester piccadilly,adult,0 days,3
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days,4
anytime,standard,liverpool lime street,manchester piccadilly,disabled,0 days,4
anytime,standard,london kings cross,york,no railcard,0 days,70
anytime,standard,london kings cross,york,no railcard,0 days,70
anytime,standard,london st pancras,birmingham new street,no railcard,0 days,16
advance,first class,manchester piccadilly,london euston,no railcard,1 days,134
anytime,standard,birmingham new street,london st pancras,disabled,0 days,29
anytime,standard,london kings cross,york,adult,0 days,47
anytime,standard,london kings cross,york,no railcard,0 days,70
anytime,standard,london paddington,london waterloo,no railcard,0 days,6
anytime,standard,london kings cross,york,no railcard,0 days,70
anytime,standard,liverpool lime street,london euston,no railcard,0 days,151
anytime,standard,london st pancras,birmingham new street,no railcard,0 days,16
anytime,standard,manchester piccadilly,sheffield,no railcard,0 days,7
anytime,standard,london paddington,reading,no railcard,0 days,25
anytime,standard,london paddington,reading,no railcard,0 days,25
off-peak,standard,liverpool lime street,manchester piccadilly,no railcard,0 days,5
advance,standard,birmingham new street,london st pancras,disabled,1 days,15
advance,standard,london st pancras,wolverhampton,disabled,1 days,21
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
off-peak,standard,london euston,birmingham new street,senior,0 days,7
advance,first class,manchester piccadilly,london euston,no railcard,1 days,134
off-peak,standard,london kings cross,york,no railcard,0 days,53
off-peak,standard,manchester piccadilly,liverpool lime street,senior,0 days,3
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days,12
off-peak,standard,london paddington,reading,no railcard,0 days,19
anytime,standard,manchester piccadilly,liverpool lime street,senior,0 days,3
anytime,standard,london euston,birmingham new street,adult,0 days,9
anytime,standard,liverpool lime street,london euston,no railcard,0 days,151
anytime,first class,liverpool lime street,manchester piccadilly,no railcard,0 days,20
anytime,first class,manchester piccadilly,liverpool lime street,no railcard,0 days,19
advance,standard,london st pancras,birmingham new street,no railcard,1 days,8
anytime,standard,liverpool lime street,manchester piccadilly,adult,0 days,4
advance,first class,london st pancras,birmingham new street,no railcard,1 days,54
anytime,standard,london st pancras,birmingham new street,no railcard,0 days,16
advance,standard,london st pancras,birmingham new street,adult,1 days,5
advance,standard,london st pancras,birmingham new street,no railcard,1 days,8
advance,first class,london st pancras,birmingham new street,no railcard,1 days,54
advance,standard,london st pancras,birmingham new street,no railcard,1 days,8
advance,first class,london kings cross,york,no railcard,1 days,57
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
advance,first class,manchester piccadilly,liverpool lime street,no railcard,1 days,10
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days,3
advance,first class,manchester piccadilly,liverpool lime street,adult,1 days,6
advance,first class,london st pancras,birmingham new street,no railcard,1 days,54
off-peak,standard,oxford,bristol temple meads,adult,0 days,17
off-peak,standard,york,durham,no railcard,0 days,11
off-peak,standard,manchester piccadilly,london euston,adult,0 days,84
off-peak,standard,york,durham,no railcard,0 days,11
off-peak,first class,london paddington,reading,no railcard,0 days,41
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days,3
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days,4
advance,standard,london kings cross,york,disabled,1 days,23
advance,standard,york,durham,disabled,1 days,5
off-peak,standard,liverpool lime street,manchester piccadilly,no railcard,0 days,5
advance,standard,york,durham,disabled,1 days,5
advance,first class,manchester piccadilly,liverpool lime street,adult,1 days,6
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days,3
off-peak,standard,london paddington,reading,no railcard,0 days,19
off-peak,first class,manchester piccadilly,london euston,no railcard,0 days,200
advance,standard,liverpool lime street,manchester piccadilly,disabled,1 days,2
advance,standard,london st pancras,birmingham new street,disabled,1 days,5
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days,12
advance,standard,manchester piccadilly,london paddington,no railcard,1 days,86
advance,standard,london kings cross,york,no railcard,1 days,35
advance,standard,liverpool lime street,leeds,no railcard,1 days,10
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days,3
advance,standard,london paddington,reading,disabled,1 days,8
advance,first class,london paddington,reading,no railcard,1 days,27
advance,standard,london paddington,reading,no railcard,1 days,13
advance,standard,london kings cross,york,no railcard,1 days,35
off-peak,standard,london euston,birmingham new street,no railcard,0 days,10
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days,4
off-peak,standard,london euston,birmingham new street,no railcard,0 days,10
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days,3
anytime,standard,manchester piccadilly,liverpool lime street,no railcard,0 days,5
anytime,standard,london kings cross,york,adult,0 days,47
advance,standard,london paddington,reading,no railcard,1 days,13
anytime,standard,london paddington,reading,senior,0 days,17
anytime,standard,london paddington,reading,senior,0 days,17
anytime,standard,manchester piccadilly,liverpool lime street,senior,0 days,3
anytime,standard,london kings cross,york,no railcard,0 days,70
anytime,standard,manchester piccadilly,liverpool lime street,senior,0 days,3
anytime,first class,birmingham new street,stafford,no railcard,0 days,14
anytime,standard,london euston,birmingham new street,no railcard,0 days,13
anytime,standard,birmingham new street,london st pancras,disabled,0 days,29
anytime,first class,london st pancras,birmingham new street,no railcard,0 days,107
advance,standard,manchester piccadilly,london euston,no railcard,1 days,84
anytime,standard,birmingham new street,london euston,adult,0 days,27
anytime,standard,york,doncaster,disabled,0 days,7
anytime,standard,london euston,manchester piccadilly,no railcard,0 days,143
anytime,standard,london st pancras,wolverhampton,disabled,0 days,43
anytime,standard,manchester piccadilly,liverpool lime street,no railcard,0 days,5
advance,standard,london kings cross,york,adult,1 days,23
advance,standard,london kings cross,york,no railcard,1 days,35
anytime,standard,london euston,birmingham new street,no railcard,0 days,13
anytime,standard,london euston,birmingham new street,no railcard,0 days,13
anytime,standard,london kings cross,york,no railcard,0 days,70
anytime,standard,liverpool lime street,manchester piccadilly,no railcard,0 days,6
anytime,standard,london kings cross,york,no railcard,0 days,70
advance,standard,london st pancras,birmingham new street,no railcard,1 days,8
advance,standard,birmingham new street,london st pancras,no railcard,1 days,22
anytime,standard,reading,swindon,no railcard,0 days,18
anytime,standard,london kings cross,york,no railcard,0 days,70
anytime,standard,london euston,birmingham new street,no railcard,0 days,13
advance,first class,liverpool lime street,london euston,adult,1 days,78
anytime,standard,london euston,manchester piccadilly,no railcard,0 days,143
anytime,standard,oxford,bristol temple meads,no railcard,0 days,34
advance,standard,liverpool lime street,london euston,adult,1 days,50
anytime,standard,london st pancras,birmingham new street,adult,0 days,11
anytime,standard,london euston,birmingham new street,no railcard,0 days,13
anytime,standard,manchester piccadilly,liverpool lime street,adult,0 days,3
advance,first class,manchester piccadilly,liverpool lime street,no railcard,1 days,10
anytime,standard,london paddington,oxford,no railcard,0 days,35
anytime,standard,london paddington,reading,no railcard,0 days,25
anytime,standard,london paddington,reading,no railcard,0 days,25
advance,standard,london euston,birmingham new street,no railcard,1 days,7
anytime,standard,manchester piccadilly,liverpool lime street,no railcard,0 days,5
anytime,standard,london paddington,oxford,no railcard,0 days,35
anytime,standard,london kings cross,york,no railcard,0 days,70
advance,standard,liverpool lime street,manchester piccadilly,disabled,1 days,2
anytime,standard,london paddington,reading,no railcard,0 days,25
off-peak,standard,manchester piccadilly,nottingham,adult,0 days,12
off-peak,standard,manchester piccadilly,leeds,adult,0 days,10
off-peak,first class,london kings cross,york,no railcard,0 days,86
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
off-peak,standard,london kings cross,york,senior,0 days,35
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days,4
off-peak,standard,manchester piccadilly,liverpool lime street,adult,0 days,3
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
advance,standard,york,doncaster,disabled,1 days,4
advance,standard,birmingham new street,london st pancras,disabled,1 days,15
advance,standard,london st pancras,birmingham new street,no railcard,1 days,8
advance,standard,london st pancras,birmingham new street,no railcard,1 days,8
advance,standard,london paddington,oxford,no railcard,1 days,18
advance,standard,london paddington,reading,no railcard,1 days,13
advance,standard,london kings cross,york,adult,1 days,23
advance,standard,london kings cross,york,no railcard,1 days,35
advance,first class,london paddington,oxford,no railcard,1 days,32
advance,standard,manchester piccadilly,liverpool lime street,adult,1 days,2
advance,standard,york,peterborough,no railcard,1 days,34
off-peak,standard,london kings cross,york,no railcard,0 days,53
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days,3
advance,standard,reading,swindon,no railcard,1 days,9
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days,3
