Ticket Type,Ticket Class,Departure Station,Arrival Destination,Railcard,Lead Time
advance,standard,london paddington,liverpool lime street,adult,24 days
advance,standard,london kings cross,york,adult,16 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,14 days
advance,standard,london paddington,reading,no railcard,12 days
advance,standard,liverpool lime street,london euston,no railcard,5 days
advance,standard,london kings cross,york,no railcard,2 days
advance,standard,london euston,oxford,adult,1 days
advance,standard,liverpool lime street,manchester piccadilly,disabled,1 days
advance,standard,london euston,york,no railcard,1 days
advance,standard,london paddington,reading,no railcard,1 days
advance,standard,york,durham,no railcard,1 days
advance,standard,london paddington,reading,adult,1 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,standard,birmingham new street,london st pancras,disabled,1 days
advance,standard,london paddington,reading,no railcard,1 days
advance,standard,london paddington,reading,no railcard,1 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
advance,standard,london kings cross,york,no railcard,1 days
advance,standard,london kings cross,york,no railcard,1 days
advance,standard,birmingham new street,manchester piccadilly,adult,1 days
advance,standard,liverpool lime street,manchester piccadilly,disabled,1 days
advance,standard,london kings cross,york,senior,1 days
advance,standard,london euston,birmingham new street,no railcard,1 days
advance,standard,london euston,birmingham new street,no railcard,1 days
advance,standard,manchester piccadilly,london paddington,no railcard,1 days
advance,first class,oxford,bristol temple meads,senior,1 days
advance,standard,london paddington,reading,no railcard,1 days
advance,standard,london euston,birmingham new street,no railcard,1 days
advance,first class,london kings cross,york,no railcard,1 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
advance,standard,london paddington,reading,no railcard,1 days
advance,standard,london kings cross,york,no railcard,1 days
advance,standard,birmingham new street,tamworth,no railcard,1 days
off-peak,standard,london euston,birmingham new street,no railcard,0 days
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days
off-peak,standard,birmingham new street,london st pancras,no railcard,0 days
off-peak,standard,liverpool lime street,manchester piccadilly,adult,0 days
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days
anytime,standard,liverpool lime street,manchester piccadilly,disabled,0 days
anytime,standard,london kings cross,york,no railcard,0 days
anytime,standard,london kings cross,york,no railcard,0 days
anytime,standard,london st pancras,birmingham new street,no railcard,0 days
advance,first class,manchester piccadilly,london euston,no railcard,1 days
anytime,standard,birmingham new street,london st pancras,disabled,0 days
anytime,standard,london kings cross,york,adult,0 days
anytime,standard,london kings cross,york,no railcard,0 days
anytime,standard,london paddington,london waterloo,no railcard,0 days
anytime,standard,london kings cross,york,no railcard,0 days
anytime,standard,liverpool lime street,london euston,no railcard,0 days
anytime,standard,london st pancras,birmingham new street,no railcard,0 days
anytime,standard,manchester piccadilly,sheffield,no railcard,0 days
anytime,standard,london paddington,reading,no railcard,0 days
anytime,standard,london paddington,reading,no railcard,0 days
off-peak,standard,liverpool lime street,manchester piccadilly,no railcard,0 days
advance,standard,birmingham new street,london st pancras,disabled,1 days
advance,standard,london st pancras,wolverhampton,disabled,1 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
off-peak,standard,london euston,birmingham new street,senior,0 days
advance,first class,manchester piccadilly,london euston,no railcard,1 days
off-peak,standard,london kings cross,york,no railcard,0 days
off-peak,standard,manchester piccadilly,liverpool lime street,senior,0 days
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days
off-peak,standard,london paddington,reading,no railcard,0 days
anytime,standard,manchester piccadilly,liverpool lime street,senior,0 days
anytime,standard,london euston,birmingham new street,adult,0 days
anytime,standard,liverpool lime street,london euston,no railcard,0 days
anytime,first class,liverpool lime street,manchester piccadilly,no railcard,0 days
anytime,first class,manchester piccadilly,liverpool lime street,no railcard,0 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
anytime,standard,liverpool lime street,manchester piccadilly,adult,0 days
advance,first class,london st pancras,birmingham new street,no railcard,1 days
anytime,standard,london st pancras,birmingham new street,no railcard,0 days
advance,standard,london st pancras,birmingham new street,adult,1 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
advance,first class,london st pancras,birmingham new street,no railcard,1 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
advance,first class,london kings cross,york,no railcard,1 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,first class,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
advance,first class,manchester piccadilly,liverpool lime street,adult,1 days
advance,first class,london st pancras,birmingham new street,no railcard,1 days
off-peak,standard,oxford,bristol temple meads,adult,0 days
off-peak,standard,york,durham,no railcard,0 days
off-peak,standard,manchester piccadilly,london euston,adult,0 days
off-peak,standard,york,durham,no railcard,0 days
off-peak,first class,london paddington,reading,no railcard,0 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days
advance,standard,london kings cross,york,disabled,1 days
advance,standard,york,durham,disabled,1 days
off-peak,standard,liverpool lime street,manchester piccadilly,no railcard,0 days
advance,standard,york,durham,disabled,1 days
advance,first class,manchester piccadilly,liverpool lime street,adult,1 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
off-peak,standard,london paddington,reading,no railcard,0 days
