Lead Time,Departure Station,Arrival Destination,Day of Week
24 days,london paddington,liverpool lime street,Monday
16 days,london kings cross,york,Monday
14 days,liverpool lime street,manchester piccadilly,Tuesday
12 days,london paddington,reading,Monday
5 days,liverpool lime street,london euston,Monday
2 days,london kings cross,york,Monday
1 days,london euston,oxford,Monday
1 days,liverpool lime street,manchester piccadilly,Monday
1 days,london euston,york,Monday
1 days,london paddington,reading,Monday
1 days,york,durham,Monday
1 days,london paddington,reading,Monday
1 days,manchester piccadilly,liverpool lime street,Monday
1 days,manchester piccadilly,liverpool lime street,Monday
1 days,birmingham new street,london st pancras,Monday
1 days,london paddington,reading,Monday
1 days,london paddington,reading,Monday
1 days,london st pancras,birmingham new street,Monday
1 days,london kings cross,york,Monday
1 days,london kings cross,york,Monday
1 days,birmingham new street,manchester piccadilly,Monday
1 days,liverpool lime street,manchester piccadilly,Monday
1 days,london kings cross,york,Monday
1 days,london euston,birmingham new street,Monday
1 days,london euston,birmingham new street,Monday
1 days,manchester piccadilly,london paddington,Monday
1 days,oxford,bristol temple meads,Monday
1 days,london paddington,reading,Monday
1 days,london euston,birmingham new street,Monday
1 days,london kings cross,york,Monday
1 days,london st pancras,birmingham new street,Monday
1 days,london paddington,reading,Monday
1 days,london kings cross,york,Monday
1 days,birmingham new street,tamworth,Monday
0 days,london euston,birmingham new street,Monday
0 days,manchester piccadilly,liverpool lime street,Monday
0 days,london st pancras,birmingham new street,Monday
0 days,birmingham new street,london st pancras,Monday
0 days,liverpool lime street,manchester piccadilly,Monday
1 days,london euston,birmingham new street,Tuesday
0 days,manchester piccadilly,liverpool lime street,Monday
0 days,liverpool lime street,manchester piccadilly,Monday
0 days,london kings cross,york,Monday
0 days,london kings cross,york,Monday
0 days,london st pancras,birmingham new street,Monday
1 days,manchester piccadilly,london euston,Tuesday
0 days,birmingham new street,london st pancras,Monday
0 days,london kings cross,york,Monday
0 days,london kings cross,york,Monday
0 days,london paddington,london waterloo,Monday
0 days,london kings cross,york,Monday
0 days,liverpool lime street,london euston,Monday
0 days,london st pancras,birmingham new street,Monday
0 days,manchester piccadilly,sheffield,Monday
0 days,london paddington,reading,Monday
0 days,london paddington,reading,Monday
0 days,liverpool lime street,manchester piccadilly,Monday
1 days,birmingham new street,london st pancras,Tuesday
1 days,london st pancras,wolverhampton,Tuesday
1 days,manchester piccadilly,liverpool lime street,Tuesday
0 days,london euston,birmingham new street,Monday
1 days,manchester piccadilly,london euston,Tuesday
0 days,london kings cross,york,Monday
0 days,manchester piccadilly,liverpool lime street,Monday
0 days,london st pancras,birmingham new street,Monday
0 days,london paddington,reading,Monday
0 days,manchester piccadilly,liverpool lime street,Monday
0 days,london euston,birmingham new street,Monday
0 days,liverpool lime street,london euston,Monday
0 days,liverpool lime street,manchester piccadilly,Monday
0 days,manchester piccadilly,liverpool lime street,Monday
1 days,london st pancras,birmingham new street,Tuesday
0 days,liverpool lime street,manchester piccadilly,Monday
1 days,london st pancras,birmingham new street,Tuesday
0 days,london st pancras,birmingham new street,Monday
1 days,london euston,birmingham new street,Tuesday
1 days,london st pancras,birmingham new street,Tuesday
1 days,london st pancras,birmingham new street,Tuesday
1 days,london st pancras,birmingham new street,Tuesday
1 days,london st pancras,birmingham new street,Tuesday
1 days,london kings cross,york,Tuesday
1 days,manchester piccadilly,liverpool lime street,Tuesday
1 days,manchester piccadilly,liverpool lime street,Tuesday
1 days,liverpool lime street,manchester piccadilly,Tuesday
1 days,manchester piccadilly,liverpool lime street,Tuesday
1 days,london st pancras,birmingham new street,Tuesday
0 days,oxford,bristol temple meads,Tuesday
0 days,york,durham,Tuesday
0 days,manchester piccadilly,london euston,Tuesday
0 days,york,durham,Tuesday
0 days,london paddington,reading,Tuesday
0 days,london euston,birmingham new street,Tuesday
1 days,liverpool lime street,manchester piccadilly,Wednesday
0 days,manchester piccadilly,liverpool lime street,Tuesday
1 days,london kings cross,york,Wednesday
1 days,york,durham,Wednesday
0 days,liverpool lime street,manchester piccadilly,Tuesday
1 days,york,durham,Wednesday
1 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,liverpool lime street,manchester piccadilly,Wednesday
0 days,london paddington,reading,Tuesday
0 days,manchester piccadilly,london euston,Tuesday
1 days,liverpool lime street,manchester piccadilly,Wednesday
1 days,london st pancras,birmingham new street,Wednesday
0 days,london st pancras,birmingham new street,Tuesday
1 days,manchester piccadilly,london paddington,Wednesday
1 days,london kings cross,york,Wednesday
1 days,liverpool lime street,leeds,Wednesday
1 days,liverpool lime street,manchester piccadilly,Wednesday
1 days,london paddington,reading,Wednesday
1 days,london paddington,reading,Wednesday
0 days,london st pancras,birmingham new street,Tuesday
1 days,london paddington,reading,Wednesday
1 days,london kings cross,york,Wednesday
0 days,london euston,birmingham new street,Tuesday
0 days,manchester piccadilly,liverpool lime street,Tuesday
0 days,london euston,birmingham new street,Tuesday
1 days,liverpool lime street,manchester piccadilly,Wednesday
0 days,manchester piccadilly,liverpool lime street,Tuesday
0 days,london kings cross,york,Tuesday
1 days,london paddington,reading,Wednesday
0 days,london paddington,reading,Tuesday
0 days,london paddington,reading,Tuesday
0 days,manchester piccadilly,liverpool lime street,Tuesday
0 days,london kings cross,york,Tuesday
0 days,manchester piccadilly,liverpool lime street,Tuesday
0 days,birmingham new street,stafford,Tuesday
0 days,london euston,birmingham new street,Tuesday
0 days,birmingham new street,london st pancras,Tuesday
0 days,london st pancras,birmingham new street,Tuesday
1 days,manchester piccadilly,london euston,Wednesday
0 days,birmingham new street,london euston,Tuesday
0 days,york,doncaster,Tuesday
0 days,london euston,manchester piccadilly,Tuesday
0 days,london st pancras,wolverhampton,Tuesday
0 days,manchester piccadilly,liverpool lime street,Tuesday
1 days,london kings cross,york,Wednesday
1 days,london kings cross,york,Wednesday
0 days,london euston,birmingham new street,Tuesday
0 days,london euston,birmingham new street,Tuesday
0 days,london kings cross,york,Tuesday
0 days,liverpool lime street,manchester piccadilly,Tuesday
0 days,london kings cross,york,Tuesday
1 days,london st pancras,birmingham new street,Wednesday
1 days,birmingham new street,london st pancras,Wednesday
0 days,reading,swindon,Tuesday
0 days,london kings cross,york,Tuesday
0 days,london euston,birmingham new street,Tuesday
0 days,liverpool lime street,london euston,Tuesday
0 days,liverpool lime street,london euston,Tuesday
1 days,liverpool lime street,london euston,Wednesday
0 days,liverpool lime street,london euston,Tuesday
0 days,london euston,manchester piccadilly,Tuesday
0 days,liverpool lime street,london euston,Tuesday
0 days,london st pancras,birmingham new street,Tuesday
0 days,oxford,bristol temple meads,Tuesday
0 days,liverpool lime street,london euston,Tuesday
1 days,liverpool lime street,london euston,Wednesday
0 days,london st pancras,birmingham new street,Tuesday
0 days,london euston,birmingham new street,Tuesday
0 days,manchester piccadilly,liverpool lime street,Tuesday
1 days,manchester piccadilly,liverpool lime street,Wednesday
0 days,london paddington,oxford,Tuesday
0 days,london paddington,reading,Tuesday
0 days,london paddington,reading,Tuesday
1 days,london euston,birmingham new street,Wednesday
0 days,manchester piccadilly,liverpool lime street,Tuesday
0 days,london paddington,oxford,Tuesday
0 days,london kings cross,york,Tuesday
1 days,liverpool lime street,manchester piccadilly,Wednesday
0 days,london paddington,reading,Tuesday
0 days,manchester piccadilly,nottingham,Tuesday
0 days,manchester piccadilly,leeds,Tuesday
0 days,london kings cross,york,Tuesday
1 days,manchester piccadilly,liverpool lime street,Wednesday
0 days,london kings cross,york,Tuesday
1 days,manchester piccadilly,liverpool lime street,Wednesday
0 days,manchester piccadilly,liverpool lime street,Tuesday
1 days,manchester piccadilly,liverpool lime street,Wednesday
